Arabic,Tafseer
وَإِذَا قِيلَ لَهُمْ لاَ تُفْسِدُواْ فِي ٱلأَرْضِ قَالُوۤاْ إِنَّمَا نَحْنُ مُصْلِحُونَ,When it is said to them that is these latter ‘Do not spread corruption in the land’ through unbelief and hindering people from faith They say ‘We are only putting things right’ that is ‘we are not engaging in corruption’. God exalted be He refutes them saying
أَلاۤ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَـٰكِن لاَّ يَشْعُرُونَ,Truly a-lā ‘truly’ is for alerting intended emphatically they are the agents of corruption but they perceive this not.
وَإِذَا قِيلَ لَهُمْ آمِنُواْ كَمَآ آمَنَ ٱلنَّاسُ قَالُوۤاْ أَنُؤْمِنُ كَمَآ آمَنَ ٱلسُّفَهَآءُ أَلاۤ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لاَّ يَعْلَمُونَ,When it is said to them ‘Believe as the people believe’ that is as the Companions of the Prophet s They say ‘Shall we believe as fools believe?’ that is as the ignorant do? No we do not follow their way. The exalted One refutes them saying Truly they are the foolish ones but they know this not.
وَإِذَا لَقُواْ ٱلَّذِينَ آمَنُواْ قَالُوۤا آمَنَّا وَإِذَا خَلَوْاْ إِلَىٰ شَيَاطِينِهِمْ قَالُوۤاْ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,When they meet laqū is actually laquyū but the damma has been omitted being too cumbersome for pronunciation; likewise the yā’ is omitted because it is unvocalised and is followed by a wāw; those who believe they say ‘We believe’; but when they go apart away from them and return to their devils their leaders they say ‘We are with you in religion; we were only mocking them the believers by feigning belief.
ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,God Himself mocks them requiting them for their mockery leaving them that is giving them respite in their insolence that is in their transgressing the limits of unbelief; bewildered wavering in perplexity ya‘mahūn is a circumstantial qualifier.
أُوْلَـٰئِكَ ٱلَّذِينَ ٱشْتَرَوُاْ ٱلضَّلَـٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُواْ مُهْتَدِينَ,Those are they who have bought error for guidance that is they have exchanged the latter for the former; so their commerce has not profited them that is to say they have gained nothing from it indeed they have lost because their destination is the Fire made everlasting for them; nor are they guided in what they did.
مَثَلُهُمْ كَمَثَلِ ٱلَّذِي ٱسْتَوْقَدَ نَاراً فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَٰتٍ لاَّ يُبْصِرُونَ,Their likeness the way they are in their hypocrisy is as the likeness of one who kindled that is one who lit a fire in darkness and when it illumined all about him so that he is able to see and to feel warm and secure from those he feared God took away their light extinguishing it the plural pronoun in nūrihim takes into account the plural import of alladhī; and left them in darkness unable to see what is around them confused as to the way in fear; likewise are those who have found temporary security by professing faith but who will meet with terror and punishment upon death; these last are
صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لاَ يَرْجِعُونَ,deaf to the truth so that they cannot hear it and accept it; dumb mute as regards goodness unable to speak of it; and blind to the path of guidance so that they cannot perceive it; they shall not return from error.
أَوْ كَصَيِّبٍ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَٰبِعَهُمْ فِيۤ آذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ وٱللَّهُ مُحِيطٌ بِٱلْكَٰفِرِينَ,Or the likeness of them is as a cloudburst that is the likeness of them is as people are during rain ka-sayyib the term is originally sayyūb from the verb sāba yasūbu meaning ‘it came down’; out of the heaven out of the clouds in which clouds is darkness layer upon layer and thunder the angel in charge of them sc. the clouds; it is also said that this thunder is actually the sound of his voice; and lightning the flash caused by his voice which he uses to drive them — they the people under the rain put their fingers that is their fingertips in their ears against because of the thunderclaps the violent sound of thunder in order not to hear it cautious of fearful of death if they were to hear it. Similar is the case with these when the Qur’ān is revealed in which there is mention of the unbelief that is like darkness the threat of punishment that is like the sound of thunder and the clear arguments that are like the clear lightning they shut their ears in order not to hear it and thereby incline towards true faith and abandon their religion which for them would be death; and God encompasses the disbelievers in both knowledge and power so they cannot escape Him.
يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ كُلَّمَا أَضَآءَ لَهُمْ مَّشَوْاْ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُواْ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,The lightning well-nigh almost snatches away their sight that is takes it away swiftly; whensoever it gives them light they walk in it in its light; and when the darkness is over them they stop that is they stand still a simile of the perturbation that the Qur’ānic arguments cause in their hearts and of their acknowledging the truths of what they love to hear and recoiling from what they detest; had God willed He would have taken away their hearing and their sight that is the exterior faculty in the same way that He took away their inner one; Truly God has power over all things that He wills as for example His taking away of the above-mentioned.
يَٰـأَيُّهَا ٱلنَّاسُ ٱعْبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,O people of Mecca worship profess the oneness of your Lord Who created you made you when you were nothing and created those that were before you; so that you may be fearful of His punishment by worshipping Him la‘alla ‘so that’ is essentially an optative but when spoken by God it denotes an affirmative
ٱلَّذِي جَعَلَ لَكُمُ ٱلأَرْضَ فِرَٰشاً وَٱلسَّمَاءَ بِنَآءً وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَأَخْرَجَ بِهِ مِنَ ٱلثَّمَرَٰتِ رِزْقاً لَّكُمْ فَلاَ تَجْعَلُواْ للَّهِ أَندَاداً وَأَنْتُمْ تَعْلَمُونَ,He Who assigned to you created for you the earth for a couch like a carpet that is laid out neither extremely hard nor extremely soft so as to make it impossible to stand firm upon it; and heaven for an edifice like a roof; and sent down from the heaven water wherewith He brought forth all types of fruits for your provision; so set not up compeers to God that is partners in worship while you know that He is the Creator that you create not and that only One that creates can be God.
وَإِن كُنْتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُواْ بِسُورَةٍ مِّن مِّثْلِهِ وَٱدْعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِنْ كُنْتُمْ صَٰدِقِينَ,And if you are in doubt in uncertainty concerning what We have revealed to Our servant Muhammad (s) of the Qur’ān that it is from God then bring a sūra like it that is also revealed min mithlihi min is explicative that is a sūra like it in its eloquence fine arrangement and its bestowal of knowledge of the Unseen; a sūra is a passage with a beginning and end made up of a minimum of three verses; and call your witnesses those other gods that you worship besides God that is other than Him so that it can be seen if you are truthful in your claim that Muhammad (s) speaks it from himself. So do this for you are also fluent speakers of Arabic like him. When they could not do this God said
فَإِن لَّمْ تَفْعَلُواْ وَلَن تَفْعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ أُعِدَّتْ لِلْكَٰفِرِينَ,And if you do not do what was mentioned because you are incapable and you will not a parenthetical statement that is never will you be able to because of its inimitability then fear through belief in God and belief that this is not the words of a human the Fire whose fuel is men disbelievers and stones like their very idols indicating that its heat is extreme since it burns with the stones mentioned unlike the fires of this world that burn with wood and similar materials; prepared and made ready for disbelievers so that they are punished in it this phrase u‘iddat li’l-kāfirīna ‘prepared for disbelievers’ is either a new sentence or a sustained circumstantial qualifier.
وَبَشِّرِ ٱلَّذِين آمَنُواْ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍ تَجْرِي مِن تَحْتِهَا ٱلأَنْهَٰرُ كُلَّمَا رُزِقُواْ مِنْهَا مِن ثَمَرَةٍ رِّزْقاً قَالُواْ هَـٰذَا ٱلَّذِي رُزِقْنَا مِن قَبْلُ وَأُتُواْ بِهِ مُتَشَٰبِهاً وَلَهُمْ فِيهَآ أَزْوَٰجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَٰلِدُونَ,And give good tidings to inform those who believe who have faith in God and perform righteous deeds such as the obligatory and supererogatory rituals that theirs shall be Gardens of trees and habitations underneath which that is underneath these trees and palaces rivers run tajrī min tahtihā’l-anhāru that is there are waters in it al-nahr is the place in which water flows and is so called because the water carves yanhar its way through it; the reference to it as ‘running’ is figurative; whensoever they are provided with fruits therefrom that is whenever they are given to eat from these gardens they shall say ‘This is what that is the like of what we were provided with before’ that is before this in Paradise since its fruits are similar and this is evidenced by the following statement they shall be given it the provision in perfect semblance that is resembling one another in colour but different in taste; and there for them shall be spouses of houris and others purified from menstruation and impurities; therein they shall abide dwelling therein forever neither perishing nor departing therefrom. And when the Jews said ‘Why does God strike a similitude about flies where He says And if a fly should rob them of anything Q. 2273 and about a spider where He says As the likeness of the spider Q. 2941 what does God want with these vile creatures? God then revealed the following
إِنَّ ٱللَّهَ لاَ يَسْتَحْى أَن يَضْرِبَ مَثَلاً مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا ٱلَّذِينَ آمَنُواْ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَـٰذَا مَثَلاً يُضِلُّ بِهِ كَثِيراً وَيَهْدِي بِهِ كَثِيراً وَمَا يُضِلُّ بِهِ إِلاَّ ٱلْفَٰسِقِينَ,God is not ashamed to strike to make a similitude mathal is the first direct object; mā either represents an indefinite noun described by what comes after it and constitutes a second direct object meaning ‘whatever that similitude may be’; or it the mā is extra to emphasise the vileness involved so that what follows constitutes the second direct object; even of a gnat ba‘ūda is the singular of ba‘ūd that is small flies; or anything above it that is larger than it so that this explanation is not affected by the size of the creature with regard to the judgement God is making; as for the believers they know it the similitude is the truth established and given in this instance from their Lord; but as for disbelievers they say ‘What did God desire by this for a similitude?’ mathalan is a specification meaning ‘by this similitude’; mā is an interrogative of rejection and is the subject; dhā means alladhī whose relative clause contains its predicate in other words ‘what use is there in it?’. God then responds to them saying Thereby that is by this similitude He leads many astray from the truth on account of their disbelieving in it and thereby He guides many believers on account of their belief in it; and thereby He leads none astray except the wicked those that reject obedience to Him.
ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِن بَعْدِ مِيثَٰقِهِ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي ٱلأرْضِ أُولَـۤئِكَ هُمُ ٱلْخَٰسِرُونَ,Those such as He has described break the covenant of God the contract He made with them in the revealed Books to belief in Muhammad (s) after its solemn binding after it has been confirmed with them and such as cut what God has commanded should be joined of belief in the Prophet of kinship and other matters an in the phrase an yūsala ‘that it be joined’ substitutes for the pronoun suffixed in bihi of the preceding words mā amara Llāhu bihi ‘that which God has commanded’; and such as do corruption in the land by way of their transgressing and impeding faith they the ones thus described shall be the losers since they shall end up in the Fire made everlasting for them.
كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنْتُمْ أَمْوَٰتاً فَأَحْيَٰكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,How do you people of Mecca disbelieve in God when you were dead semen inside loins and He gave you life in the womb and in this world by breathing Spirit into you the interrogative here is either intended to provoke amazement at their persistent unbelief despite the evidence established or intended as a rebuke; then He shall make you dead after your terms of life are completed then He shall give you life at the Resurrection then to Him you shall be returned! after resurrection whereupon He shall requite you according to your deeds; and He states as proof of the Resurrection when they denied it
هُوَ ٱلَّذِي خَلَقَ لَكُمْ مَّا فِي ٱلأَرْضِ جَمِيعاً ثُمَّ ٱسْتَوَىٰ إِلَى ٱلسَّمَآءِ فَسَوَّٰهُنَّ سَبْعَ سَمَٰوَٰتٍ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,He it is Who created for you all that is in the earth that is the earth and all that is in it so that you may benefit from and learn lessons from it; then after creating the earth He turned to that is He made His object heaven and levelled them fa-sawwāhunna the pronoun -hunna refers to ‘heaven’ since it heaven is implicit in the import of the sentence attributed to it the pronoun that is to say He made them thus as He says in another verse fa-qadāhunna so He determined them Q. 4112 seven heavens and He has knowledge of all things in their totality and in their individual detail so do you not then think that the One who has the power to create this to begin with which is much greater than what you are also has the power to bring you back after death?
وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰئِكَةِ إِنِّي جَاعِلٌ فِي ٱلأَرْضِ خَلِيفَةً قَالُواْ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّيۤ أَعْلَمُ مَا لاَ تَعْلَمُونَ,And mention O Muhammad (s) when your Lord said to the angels ‘I am appointing on earth a vicegerent’ who shall act as My deputy by implementing My rulings therein — and this vicegerent was Adam; They said ‘What will You appoint therein one who will do corruption therein through disobedience and shed blood spilling it through killing just as the progeny of the jinn did for they used to inhabit it but when they became corrupted God sent down the angels against them and they were driven away to islands and into the mountains; while we glorify continuously You with praise that is “We say Glory and Praise be to You” and sanctify You?’ that is ‘We exalt You as transcendent above what does not befit You?; the lām of laka ‘You’ is extra and the sentence wa-nuqaddisu laka ‘We sanctify You’ is a circumstantial qualifier the import being ‘thus we are more entitled to be Your vicegerents’; He exalted be He said ‘Assuredly I know what you know not’ of the benefits of making Adam a vicegerent and of the fact that among his progeny will be the obedient and the transgressor and justice will prevail between them. They said ‘God will never create anything more noble in His eyes than us nor more knowledgeable since we have been created before it and have seen what it has not seen. God then created Adam from the surface of the earth adīm al-ard adīm literally means ‘skin’ taking a handful of all its colours and mixing it with different waters then made him upright and breathed into him the Spirit and he thus became a living being with senses after having been inanimate.
وَعَلَّمَ ءَادَمَ ٱلأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰئِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَآءِ هَـٰؤُلاۤءِ إِن كُنْتُمْ صَٰدِقِينَ,And He taught Adam the names that is the names of things named all of them by placing knowledge of them into his heart; then He presented them these names the majority of which concerned intellectual beings to the angels and said to them in reproach ‘Now tell Me inform Me the names of these things named if you speak truly’ in your claim that I would not create anything more knowledgeable than you or that you are more deserving of this vicegerency; the response to the conditional sentence is intimated by what precedes it.
قَالُواْ سُبْحَٰنَكَ لاَ عِلْمَ لَنَآ إِلاَّ مَا عَلَّمْتَنَآ إِنَّكَ أَنْتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,They said ‘Glory be to You! exalting You above that any should object to You We know not except what You have taught us. Surely You are innaka anta emphasises the preceding suffixed pronoun kāf the Knower Wise’ from whose knowledge and wisdom nothing escapes.
قَالَ يَآءَادَمُ أَنبِئْهُمْ بِأَسْمَآئِهِمْ فَلَمَّآ أَنْبَأَهُمْ بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُلْ لَّكُمْ إِنِيۤ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ,He exalted be He said ‘Adam tell them the angels their names’ all of the things named; so he named each thing by its appellation and mentioned the wisdom behind its creation; And when he had told them their names He exalted said in rebuke ‘Did I not tell you that I know the Unseen in the heavens and the earth? what is unseen in them And I know what you reveal what you manifested when you said ‘What will You appoint therein …’ and what you were hiding what you were keeping secret when you were saying that God would not create anything more knowledgeable or more noble in His eyes than us.
وَإِذْ قُلْنَا لِلْمَلَٰئِكَةِ ٱسْجُدُواْ لأَدَمَ فَسَجَدُواْ إِلاَّ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,And mention when We said to the angels ‘Prostrate yourselves to Adam’ a prostration that is a bow of salutation; so they prostrated themselves except Iblīs the father of the jinn who was among the angels he refused to prostrate and disdained became proud and said I am better than he Q. 712; and so he became one of the disbelievers according to God’s knowledge.
وَقُلْنَا يَآءَادَمُ ٱسْكُنْ أَنْتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلاَ مِنْهَا رَغَداً حَيْثُ شِئْتُمَا وَلاَ تَقْرَبَا هَـٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلْظَّٰلِمِينَ,And We said ‘Adam dwell anta ‘you’ of ‘dwell you’ here reiterates the concealed pronoun of the person of the verb uskun so that it wa-zawjuk may be made a supplement to it; and your wife Eve Hawwā’ — who was created from his left rib — in the Garden and eat thereof of its food easefully of anything without restrictions where you desire; but do not come near this tree to eat from it and this was wheat or a vine or something else lest you be become evildoers’ that is transgressors.
فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا ٱهْبِطُواْ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِي ٱلأَرْضِ مُسْتَقَرٌّ وَمَتَٰعٌ إِلَىٰ حِينٍ,Then Satan Iblīs caused them to slip he caused them to be removed fa-azallahumā a variant reading has fa-azālahumā he caused them to be away from it therefrom that is from the Garden when he said to them ‘Shall I point you to the tree of eternity’ cf. Q. 20120 and swore to them by God that he was only giving good advice to them and so they ate of it; and brought them out of what they were in of bliss; and We said ‘Go down to earth both of you and all those comprised by your seed; some of you of your progeny an enemy to the other through your wronging one another; and in the earth a dwelling a place of settlement shall be yours and enjoyment of whatever of its vegetation you may enjoy for a while’ until the time your terms of life are concluded.
فَتَلَقَّىٰ ءَادَمُ مِن رَّبِّهِ كَلِمَٰتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,Thereafter Adam received certain words from his Lord with which He inspired him a variant reading of Ādamu has accusative Ādama and nominative kalimātu meaning they the words came to him and these were those of the verse Lord we have wronged ourselves Q. 723 with which he supplicated and He relented to him that is He accepted his repentance; truly He is the Relenting to His servants the Merciful to them.
قُلْنَا ٱهْبِطُواْ مِنْهَا جَمِيعاً فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ,We said ‘Go down from it from the Garden all together He has repeated this phrase qulnā ihbitū in order to supplement it with yet fa-immā the nūn of the conditional particle in ‘if’ has been assimilated with the extra mā there shall come to you from Me guidance a Book and a prophet and whoever follows My guidance believing in me and performing deeds in obedience of Me no fear shall befall them neither shall they grieve in the Hereafter since they will be admitted into Paradise.
وَٱلَّذِينَ كَفَرواْ وَكَذَّبُواْ بِآيَٰتِنَآ أُولَـٰئِكَ أَصْحَٰبُ ٱلنَّارِ هُمْ فِيهَا خَٰلِدُونَ,As for the disbelievers who deny Our signs Our Books those shall be the inhabitants of the Fire abiding therein’ enduring perpetually neither perishing nor exiting therefrom.
يَٰبَنِي إِسْرَائِيلَ ٱذْكُرُواْ نِعْمَتِيَ ٱلَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُواْ بِعَهْدِيۤ أُوفِ بِعَهْدِكُمْ وَإِيَّٰيَ فَٱرْهَبُونِ,O Children of Israel sons of Jacob remember My favour wherewith I favoured you that is your forefathers saving them from Pharaoh parting the sea sending clouds as shelter and other instances for which you should show gratitude by being obedient to Me; and fulfil My covenant that which I took from you that you believe in Muhammad (s) and I shall fulfil your covenant that which I gave to you that you shall be rewarded for this with Paradise; and be in awe of Me fear Me and not anyone else when you have abandoned belief in him the Prophet.
