Name,Surah,Ayat,Verse,Tafseer
The Cow,2,12,Are not they indeed the mischief-makers ? But they perceive not. .,Truly a-lā ‘truly’ is for alerting intended emphatically they are the agents of corruption but they perceive this not.
The Cow,2,13,"And when it is said unto them: believe as the people believe, they say: shall we believe as the foolish believe ? are not they indeed the foolish ? But they know not.",When it is said to them ‘Believe as the people believe’ that is as the Companions of the Prophet s They say ‘Shall we believe as fools believe?’ that is as the ignorant do? No we do not follow their way. The exalted One refutes them saying Truly they are the foolish ones but they know this not.
The Cow,2,14,"And when they fall in with those who believe, they say: We believe; but when they go apart to their devils they declare: Lo! we are with you; verily we did but mock.",When they meet laqū is actually laquyū but the damma has been omitted being too cumbersome for pronunciation; likewise the yā’ is omitted because it is unvocalised and is followed by a wāw; those who believe they say ‘We believe’; but when they go apart away from them and return to their devils their leaders they say ‘We are with you in religion; we were only mocking them the believers by feigning belief.
The Cow,2,15,"Allah (Himself) doth mock them, leaving them to wander blindly on in their contumac",God Himself mocks them requiting them for their mockery leaving them that is giving them respite in their insolence that is in their transgressing the limits of unbelief; bewildered wavering in perplexity ya‘mahūn is a circumstantial qualifier.
The Cow,2,16,"These are they who purchase error at the price of guidance, so their commerce doth not prosper, neither are they guided.",Those are they who have bought error for guidance that is they have exchanged the latter for the former; so their commerce has not profited them that is to say they have gained nothing from it indeed they have lost because their destination is the Fire made everlasting for them; nor are they guided in what they did.
The Cow,2,17,"Their likeness is as the likeness of one who kindleth fire, and when it sheddeth its light around him Allah taketh away their light and leaveth them in darkness, where they cannot see,",Their likeness the way they are in their hypocrisy is as the likeness of one who kindled that is one who lit a fire in darkness and when it illumined all about him so that he is able to see and to feel warm and secure from those he feared God took away their light extinguishing it the plural pronoun in nūrihim takes into account the plural import of alladhī; and left them in darkness unable to see what is around them confused as to the way in fear; likewise are those who have found temporary security by professing faith but who will meet with terror and punishment upon death; these last are
The Cow,2,18,"Deaf, dumb and blind; and they return not.",deaf to the truth so that they cannot hear it and accept it; dumb mute as regards goodness unable to speak of it; and blind to the path of guidance so that they cannot perceive it; they shall not return from error.
The Cow,2,19,"Or like a rainstorm from the sky, wherein is darkness, thunder and the flash of lightning. They thrust their fingers in their ears by reason of the thunder-claps, for fear of death, Allah encompasseth the disbelievers (in His guidance, His omniscience and His omnipotence).",Or the likeness of them is as a cloudburst that is the likeness of them is as people are during rain ka-sayyib the term is originally sayyūb from the verb sāba yasūbu meaning ‘it came down’; out of the heaven out of the clouds in which clouds is darkness layer upon layer and thunder the angel in charge of them sc. the clouds; it is also said that this thunder is actually the sound of his voice; and lightning the flash caused by his voice which he uses to drive them — they the people under the rain put their fingers that is their fingertips in their ears against because of the thunderclaps the violent sound of thunder in order not to hear it cautious of fearful of death if they were to hear it. Similar is the case with these when the Qur’ān is revealed in which there is mention of the unbelief that is like darkness the threat of punishment that is like the sound of thunder and the clear arguments that are like the clear lightning they shut their ears in order not to hear it and thereby incline towards true faith and abandon their religion which for them would be death; and God encompasses the disbelievers in both knowledge and power so they cannot escape Him.
The Cow,2,20,"The lightning almost snatcheth away their sight from them. As often as it flasheth forth for them they walk therein, and when it darkeneth against them they stand still. If Allah willed, He could destroy their hearing and their sight. Lo! Allah is able to do all things.",The lightning well-nigh almost snatches away their sight that is takes it away swiftly; whensoever it gives them light they walk in it in its light; and when the darkness is over them they stop that is they stand still a simile of the perturbation that the Qur’ānic arguments cause in their hearts and of their acknowledging the truths of what they love to hear and recoiling from what they detest; had God willed He would have taken away their hearing and their sight that is the exterior faculty in the same way that He took away their inner one; Truly God has power over all things that He wills as for example His taking away of the above-mentioned.
The Cow,2,21,"O mankind! worship your Lord, Who hath created you and those before you, so that ye may ward off (evil).",O people of Mecca worship profess the oneness of your Lord Who created you made you when you were nothing and created those that were before you; so that you may be fearful of His punishment by worshipping Him la‘alla ‘so that’ is essentially an optative but when spoken by God it denotes an affirmative
The Cow,2,22,"Who hath appointed the earth a resting-place for you, and the sky a canopy; and causeth water to pour down from the sky, thereby producing fruits as food for you. And do not set up rivals to Allah when ye know (better).",He Who assigned to you created for you the earth for a couch like a carpet that is laid out neither extremely hard nor extremely soft so as to make it impossible to stand firm upon it; and heaven for an edifice like a roof; and sent down from the heaven water wherewith He brought forth all types of fruits for your provision; so set not up compeers to God that is partners in worship while you know that He is the Creator that you create not and that only One that creates can be God.
The Cow,2,23,"And if ye are in doubt concerning that which We reveal unto Our slave (Muhammad), then produce a surah of the like thereof, and call your witness beside Allah if ye are truthful.",And if you are in doubt in uncertainty concerning what We have revealed to Our servant Muhammad (s) of the Qur’ān that it is from God then bring a sūra like it that is also revealed min mithlihi min is explicative that is a sūra like it in its eloquence fine arrangement and its bestowal of knowledge of the Unseen; a sūra is a passage with a beginning and end made up of a minimum of three verses; and call your witnesses those other gods that you worship besides God that is other than Him so that it can be seen if you are truthful in your claim that Muhammad (s) speaks it from himself. So do this for you are also fluent speakers of Arabic like him. When they could not do this God said
The Cow,2,24,"And if ye do it not - and ye can never do it - then guard yourselves against the Fire prepared for disbelievers, whose fuel is of men and stones.",And if you do not do what was mentioned because you are incapable and you will not a parenthetical statement that is never will you be able to because of its inimitability then fear through belief in God and belief that this is not the words of a human the Fire whose fuel is men disbelievers and stones like their very idols indicating that its heat is extreme since it burns with the stones mentioned unlike the fires of this world that burn with wood and similar materials; prepared and made ready for disbelievers so that they are punished in it this phrase u‘iddat li’l-kāfirīna ‘prepared for disbelievers’ is either a new sentence or a sustained circumstantial qualifier.
The Cow,2,25,"And give glad tidings (O Muhammad) unto those who believe and do good works; that theirs are Gardens underneath which rivers flow; as often as they are regaled with food of the fruit thereof, they say: this is what was given us aforetime; and it is given to them in resemblance. There for them are pure companions; there for ever they abide.",And give good tidings to inform those who believe who have faith in God and perform righteous deeds such as the obligatory and supererogatory rituals that theirs shall be Gardens of trees and habitations underneath which that is underneath these trees and palaces rivers run tajrī min tahtihā’l-anhāru that is there are waters in it al-nahr is the place in which water flows and is so called because the water carves yanhar its way through it; the reference to it as ‘running’ is figurative; whensoever they are provided with fruits therefrom that is whenever they are given to eat from these gardens they shall say ‘This is what that is the like of what we were provided with before’ that is before this in Paradise since its fruits are similar and this is evidenced by the following statement they shall be given it the provision in perfect semblance that is resembling one another in colour but different in taste; and there for them shall be spouses of houris and others purified from menstruation and impurities; therein they shall abide dwelling therein forever neither perishing nor departing therefrom. And when the Jews said ‘Why does God strike a similitude about flies where He says And if a fly should rob them of anything Q. 2273 and about a spider where He says As the likeness of the spider Q. 2941 what does God want with these vile creatures? God then revealed the following
The Cow,2,26,"Lo! Allah disdaineth not to coin the similitude even of a gnat. Those who believe know that it is the truth from their Lord; but those who disbelieve say: What doth Allah wish (to teach) by such a similitude ? He misleadeth many thereby, and He guideth many thereby; and He misleadeth thereby only miscreants;",God is not ashamed to strike to make a similitude mathal is the first direct object; mā either represents an indefinite noun described by what comes after it and constitutes a second direct object meaning ‘whatever that similitude may be’; or it the mā is extra to emphasise the vileness involved so that what follows constitutes the second direct object; even of a gnat ba‘ūda is the singular of ba‘ūd that is small flies; or anything above it that is larger than it so that this explanation is not affected by the size of the creature with regard to the judgement God is making; as for the believers they know it the similitude is the truth established and given in this instance from their Lord; but as for disbelievers they say ‘What did God desire by this for a similitude?’ mathalan is a specification meaning ‘by this similitude’; mā is an interrogative of rejection and is the subject; dhā means alladhī whose relative clause contains its predicate in other words ‘what use is there in it?’. God then responds to them saying Thereby that is by this similitude He leads many astray from the truth on account of their disbelieving in it and thereby He guides many believers on account of their belief in it; and thereby He leads none astray except the wicked those that reject obedience to Him.
The Cow,2,27,"Those who break the covenant of Allah after ratifying it, and sever that which Allah ordered to be joined, and (who) make mischief in the earth: Those are they who are the losers.",Those such as He has described break the covenant of God the contract He made with them in the revealed Books to belief in Muhammad (s) after its solemn binding after it has been confirmed with them and such as cut what God has commanded should be joined of belief in the Prophet of kinship and other matters an in the phrase an yūsala ‘that it be joined’ substitutes for the pronoun suffixed in bihi of the preceding words mā amara Llāhu bihi ‘that which God has commanded’; and such as do corruption in the land by way of their transgressing and impeding faith they the ones thus described shall be the losers since they shall end up in the Fire made everlasting for them.
The Cow,2,28,"How disbelieve ye in Allah when ye were dead and He gave life to you! Then He will give you death, then life again, and then unto Him ye will return.",How do you people of Mecca disbelieve in God when you were dead semen inside loins and He gave you life in the womb and in this world by breathing Spirit into you the interrogative here is either intended to provoke amazement at their persistent unbelief despite the evidence established or intended as a rebuke; then He shall make you dead after your terms of life are completed then He shall give you life at the Resurrection then to Him you shall be returned! after resurrection whereupon He shall requite you according to your deeds; and He states as proof of the Resurrection when they denied it
The Cow,2,29,"He it is Who created for you all that is in the earth. Then turned He to the heaven, and fashioned it as seven heavens. And He is knower of all things.",He it is Who created for you all that is in the earth that is the earth and all that is in it so that you may benefit from and learn lessons from it; then after creating the earth He turned to that is He made His object heaven and levelled them fa-sawwāhunna the pronoun -hunna refers to ‘heaven’ since it heaven is implicit in the import of the sentence attributed to it the pronoun that is to say He made them thus as He says in another verse fa-qadāhunna so He determined them Q. 4112 seven heavens and He has knowledge of all things in their totality and in their individual detail so do you not then think that the One who has the power to create this to begin with which is much greater than what you are also has the power to bring you back after death?
The Cow,2,30,"And when thy Lord said unto the angels: Lo! I am about to place a viceroy in the earth, they said: Wilt thou place therein one who will do harm therein and will shed blood, while we, we hymn Thy praise and sanctify Thee ? He said: Surely I know that which ye know not.",And mention O Muhammad (s) when your Lord said to the angels ‘I am appointing on earth a vicegerent’ who shall act as My deputy by implementing My rulings therein — and this vicegerent was Adam; They said ‘What will You appoint therein one who will do corruption therein through disobedience and shed blood spilling it through killing just as the progeny of the jinn did for they used to inhabit it but when they became corrupted God sent down the angels against them and they were driven away to islands and into the mountains; while we glorify continuously You with praise that is “We say Glory and Praise be to You” and sanctify You?’ that is ‘We exalt You as transcendent above what does not befit You?; the lām of laka ‘You’ is extra and the sentence wa-nuqaddisu laka ‘We sanctify You’ is a circumstantial qualifier the import being ‘thus we are more entitled to be Your vicegerents’; He exalted be He said ‘Assuredly I know what you know not’ of the benefits of making Adam a vicegerent and of the fact that among his progeny will be the obedient and the transgressor and justice will prevail between them. They said ‘God will never create anything more noble in His eyes than us nor more knowledgeable since we have been created before it and have seen what it has not seen. God then created Adam from the surface of the earth adīm al-ard adīm literally means ‘skin’ taking a handful of all its colours and mixing it with different waters then made him upright and breathed into him the Spirit and he thus became a living being with senses after having been inanimate.
The Cow,2,31,"And He taught Adam all the names, then showed them to the angels, saying: Inform Me of the names of these, if ye are truthful.",And He taught Adam the names that is the names of things named all of them by placing knowledge of them into his heart; then He presented them these names the majority of which concerned intellectual beings to the angels and said to them in reproach ‘Now tell Me inform Me the names of these things named if you speak truly’ in your claim that I would not create anything more knowledgeable than you or that you are more deserving of this vicegerency; the response to the conditional sentence is intimated by what precedes it.
The Cow,2,32,"They said: Be glorified! We have no knowledge saving that which Thou hast taught us. Lo! Thou, only Thou, art the Knower, the Wise.",They said ‘Glory be to You! exalting You above that any should object to You We know not except what You have taught us. Surely You are innaka anta emphasises the preceding suffixed pronoun kāf the Knower Wise’ from whose knowledge and wisdom nothing escapes.
The Cow,2,33,"He said: O Adam! Inform them of their names, and when he had informed them of their names, He said: Did I not tell you that I know the secret of the heavens and the earth ? And I know that which ye disclose and which ye hide.",He exalted be He said ‘Adam tell them the angels their names’ all of the things named; so he named each thing by its appellation and mentioned the wisdom behind its creation; And when he had told them their names He exalted said in rebuke ‘Did I not tell you that I know the Unseen in the heavens and the earth? what is unseen in them And I know what you reveal what you manifested when you said ‘What will You appoint therein …’ and what you were hiding what you were keeping secret when you were saying that God would not create anything more knowledgeable or more noble in His eyes than us.
The Cow,2,34,"And when We said unto the angels: Prostrate yourselves before Adam, they fell prostrate, all save Iblis. He demurred through pride, and so became a disbeliever..",And mention when We said to the angels ‘Prostrate yourselves to Adam’ a prostration that is a bow of salutation; so they prostrated themselves except Iblīs the father of the jinn who was among the angels he refused to prostrate and disdained became proud and said I am better than he Q. 712; and so he became one of the disbelievers according to God’s knowledge.
The Cow,2,35,"And We said: O Adam! Dwell thou and thy wife in the Garden, and eat ye freely (of the fruits) thereof where ye will; but come not nigh this tree lest ye become wrong-doers.",And We said ‘Adam dwell anta ‘you’ of ‘dwell you’ here reiterates the concealed pronoun of the person of the verb uskun so that it wa-zawjuk may be made a supplement to it; and your wife Eve Hawwā’ — who was created from his left rib — in the Garden and eat thereof of its food easefully of anything without restrictions where you desire; but do not come near this tree to eat from it and this was wheat or a vine or something else lest you be become evildoers’ that is transgressors.
The Cow,2,36,"036 But Satan caused them to deflect therefrom and expelled them from the (happy) state in which they were; and We said: Fall down, one of you a foe unto the other! There shall be for you on earth a habitation and provision for a time.",Then Satan Iblīs caused them to slip he caused them to be removed fa-azallahumā a variant reading has fa-azālahumā he caused them to be away from it therefrom that is from the Garden when he said to them ‘Shall I point you to the tree of eternity’ cf. Q. 20120 and swore to them by God that he was only giving good advice to them and so they ate of it; and brought them out of what they were in of bliss; and We said ‘Go down to earth both of you and all those comprised by your seed; some of you of your progeny an enemy to the other through your wronging one another; and in the earth a dwelling a place of settlement shall be yours and enjoyment of whatever of its vegetation you may enjoy for a while’ until the time your terms of life are concluded.
The Cow,2,37,"Then Adam received from his Lord words (of revelation), and He relented toward him. Lo! He is the relenting, the Merciful.",Thereafter Adam received certain words from his Lord with which He inspired him a variant reading of Ādamu has accusative Ādama and nominative kalimātu meaning they the words came to him and these were those of the verse Lord we have wronged ourselves Q. 723 with which he supplicated and He relented to him that is He accepted his repentance; truly He is the Relenting to His servants the Merciful to them.
The Cow,2,38,"We said: Go down, all of you, from hence; but verily there cometh unto you from Me a guidance; and whoso followeth My guidance, there shall no fear come upon them neither shall they grieve.",We said ‘Go down from it from the Garden all together He has repeated this phrase qulnā ihbitū in order to supplement it with yet fa-immā the nūn of the conditional particle in ‘if’ has been assimilated with the extra mā there shall come to you from Me guidance a Book and a prophet and whoever follows My guidance believing in me and performing deeds in obedience of Me no fear shall befall them neither shall they grieve in the Hereafter since they will be admitted into Paradise.
The Cow,2,39,"But they who disbelieve, and deny Our revelations, such are rightful Peoples of the Fire. They will abide therein.",As for the disbelievers who deny Our signs Our Books those shall be the inhabitants of the Fire abiding therein’ enduring perpetually neither perishing nor exiting therefrom.
The Cow,2,40,"O Children of Israel! Remember My favour wherewith I favoured you, and fulfil your (part of the) covenant, I shall fulfil My (part of the) covenant, and fear Me.",O Children of Israel sons of Jacob remember My favour wherewith I favoured you that is your forefathers saving them from Pharaoh parting the sea sending clouds as shelter and other instances for which you should show gratitude by being obedient to Me; and fulfil My covenant that which I took from you that you believe in Muhammad (s) and I shall fulfil your covenant that which I gave to you that you shall be rewarded for this with Paradise; and be in awe of Me fear Me and not anyone else when you have abandoned belief in him the Prophet.
The Cow,2,41,"And believe in that which I reveal, confirming that which ye possess already (of the Scripture), and be not first to disbelieve therein, and part not with My revelations for a trifling price, and keep your duty unto Me.",And believe in what I have revealed of the Qur’ān confirming that which is with you of the Torah by its agreement with it in respect to affirmation of God’s Oneness and prophethood; and be not the first to disbelieve in it from among the People of the Scripture for those who will come after you will depend on you and so you will bear their sins. And do not sell exchange My signs those that relate to the description of Muhammad (s) in your Book; for a small price for a trivial and temporary affair of this world; that is to say do not suppress this for fear of losing what you hope to earn from lowly individuals among you; and fear Me and none other in this matter.
The Cow,2,42,"Confound not truth with falsehood, nor knowingly conceal the truth.",And do not obscure confuse the truth that I have revealed to you with falsehood that you fabricate; and do not conceal the truth the description of Muhammad (s) wittingly that is knowing it to be the truth.
The Cow,2,43,"Establish worship, pay the poor-due, and bow your heads with those who bow (in worship).",And establish prayer and pay the alms and bow with those that bow that is pray with those who pray Muhammad (s) and his Companions this was revealed concerning their religious scholars who used to say to their kin from among the Muslims ‘Stay firm upon the religion of Muhammad (s) for it is the truth’.
The Cow,2,44,Enjoin ye righteousness upon mankind while ye yourselves forget (to practise it) ? And ye are readers of the Scripture! Have ye then no sense ?,Will you bid others to piety to belief in Muhammad (s) and forget yourselves neglecting yourselves and not bidding them to the same while you recite the Book? in which there is the threat of chastisement if what you do contradicts what you say. Do you not understand? the evil nature of your actions that you might then repent? the sentence about ‘forgetting’ constitutes the syntactical locus of the interrogative of disavowal.
The Cow,2,45,"Seek help in patience and prayer; and truly it is hard save for the humble-minded,",Seek help ask for assistance in your affairs in patience by restraining the soul in the face of that which it dislikes; and prayer. The singling out of this for mention is a way of emphasising its great importance; in one hadīth it is stated ‘When something bothered the Prophet s he would immediately resort to prayer’; it is said that the address here is to the Jews when greed and desire for leadership became impediments to their faith they were enjoined to forbearance which constituted fasting and prayer since the former stems from lust and the latter yields humility and negates pride. For it prayer is grievous burdensome except to the humble those that are at peace in obedience
The Cow,2,46,"Who know that they will have to meet their Lord, and that unto Him they are returning.",who reckon who are certain that they shall meet their Lord at the Resurrection and that to Him they are returning in the Hereafter where He will reward them.
The Cow,2,47,O Children of Israel! Remember My favour wherewith I favoured you and how I preferred you to (all) creatures.,O Children of Israel remember My favour wherewith I favoured you by giving thanks through obedience to Me and that I have preferred you your forefathers above all the worlds of their time;
The Cow,2,48,"And guard yourselves against a day when no soul will in aught avail another, nor will intercession be accepted from it, nor will compensation be received from it, nor will they be helped.",and fear be scared of the day when no soul for another shall give satisfaction which is the Day of Resurrection and no intercession shall be accepted read either tuqbal or yuqbal from it that is it is not the case that it has power to intercede for it then to be accepted from it or rejected as God says So now we have no intercessors Q. 26100; nor any compensation ransom be taken neither shall they be helped to avoid God’s chastisement.
The Cow,2,49,"And (remember) when We did deliver you from Pharaoh’s folk, who were afflicting you with dreadful torment, slaying your sons and sparing your women: that was a tremendous trial from your Lord.",And remember when We delivered you your forefathers the address here and henceforth directed to those living at the time of the our Prophet is about how God blessed their forefathers and is intended to remind them of God’s grace so that they might believe; from the folk of Pharaoh who were visiting you with that is making you taste evil chastisement of the worst kind the sentence here is a circumstantial qualifier referring to the person of the pronoun suffixed in najjaynākum ‘We delivered you’; slaughtering your newly-born sons this is explaining what has just been said; and sparing retaining your women doing so because of the saying of some of their priests that a child born among the Israelites shall bring about the end of your rule Pharaoh; and for you therein chastisement or deliverance was a tremendous trial a test or a grace from your Lord.
The Cow,2,50,"And when We brought you through the sea and rescued you, and drowned the folk of Pharaoh in your sight.",And remember when We divided split in two for you on account of you the sea such that you were able to cross it and escape from your enemy; and We delivered you from drowning and drowned Pharaoh’s folk his people with him while you were beholding the sea crashing down on top of them.
The Cow,2,51,"And when We did appoint for Moses forty nights (of solitude), and then ye chose the calf, when he had gone from you, and were wrong-doers.",And when We appointed for wā‘adnā or wa‘adnā Moses forty nights at the end of which We shall give him the Torah for you to implement then you took to yourselves the calf the one which the Samaritan fashioned for you as a god after him that is after he departed for Our appointment and you were evildoers for taking it in worship because you directed your worship to the wrong place.
The Cow,2,52,"Then, even after that, We pardoned you in order that ye might give thanks.",Then We pardoned you erasing your sins after that act of worship so that you might be thankful for Our favour upon you.
The Cow,2,53,"And when We gave unto Moses the Scripture and the criterion (of right and wrong), that ye might be led aright.",And when We gave to Moses the Scripture the Torah and the Criterion wa’l-furqān is an explicative supplement of Torah that is the one that discriminates faraqa between truth and falsehood and between what is licit and illicit so that you might be guided by it away from error.
The Cow,2,54,"And when Moses said unto his people: O my people! Ye have wronged yourselves by your choosing of the calf (for worship) so turn in penitence to your Creator, and kill (the guilty) yourselves. That will be best for you with your Creator and He will relent toward you. Lo! He is the Relenting, the Merciful.",And when Moses said to his people those who worshipped the calf ‘My people you have done wrong against yourselves by your taking the golden calf for a god; now turn to your Creator away from that worship of the calf and slay one another that is let the innocent of you slay the guilty; That slaughter will be better for you in your Creator’s sight’ who made it easier for you to accomplish this and sent down a dark cloud over you so that none of you was able to see the other and show him mercy such that almost seventy thousand of you were killed; and He will turn to you relenting before your turning in repentance; truly He is the Relenting the Merciful.
The Cow,2,55,And when ye said: O Moses! We will not believe in thee till we see Allah plainly; and even while ye gazed the lightning seized you.,And when you said having gone out with Moses to apologise before God for your worship of the calf and having heard what he had said to you; ‘O Moses we will not believe you till we see God openly’ with our own eyes; and the thunderbolt the shout took you and you died while you were beholding what was happening to you.
The Cow,2,56,"Then We revived you after your extinction, that ye might give thanks.",Then We raised you up brought you back to life after you were dead so that you might be thankful for this favour of Ours.
The Cow,2,57,"And We caused the white cloud to overshadow you and sent down on you the manna and the quails, (saying): Eat of the good things wherewith We have provided you - they wronged Us not, but they did wrong themselves.",And We made the cloud overshadow you that is We sheltered you with fine clouds from the heat of the sun while you were in the wilderness; and We sent down in them the clouds upon you manna and quails — which are respectively a type of citrus known as turunjabīn and the quail — and We said ‘Eat of the good things We have provided for you’ and do not store any of it away but they were not grateful for this favour and stored the food and so they were deprived of it; And they did not wrong Us in this but themselves they wronged since the evil consequences of this befell them.
