surah_no,surah_name_en,surah_name_ar,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words
2,The Cow,البقرة,Al-Baqarah,4,11,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,"and who believe in what has been revealed to you ˹O Prophet˺ and what was revealed before you, and have sure faith in the Hereafter.",2,1,1,1,286,6236,Medinan,FALSE,NA,12,"[وَٱلَّذِينَ,يُؤْمِنُونَ,بِمَآ,أُنزِلَ,إِلَيْكَ,وَمَآ,أُنزِلَ,مِن,قَبْلِكَ,وَبِٱلْءَاخِرَةِ,هُمْ,يُوقِنُونَ]"
2,The Cow,البقرة,Al-Baqarah,5,12,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.",2,1,1,1,286,6236,Medinan,FALSE,NA,9,"[أُو۟لَٰٓئِكَ,عَلَىٰ,هُدًۭى,مِّن,رَّبِّهِمْ,ۖ,وَأُو۟لَٰٓئِكَ,هُمُ,ٱلْمُفْلِحُونَ]"
2,The Cow,البقرة,Al-Baqarah,6,13,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.",2,1,1,1,286,6236,Medinan,FALSE,NA,11,"[إِنَّ,ٱلَّذِينَ,كَفَرُوا۟,سَوَآءٌ,عَلَيْهِمْ,ءَأَنذَرْتَهُمْ,أَمْ,لَمْ,تُنذِرْهُمْ,لَا,يُؤْمِنُونَ]"
2,The Cow,البقرة,Al-Baqarah,7,14,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.",2,1,1,1,286,6236,Medinan,FALSE,NA,14,"[خَتَمَ,ٱللَّهُ,عَلَىٰ,قُلُوبِهِمْ,وَعَلَىٰ,سَمْعِهِمْ,ۖ,وَعَلَىٰٓ,أَبْصَٰرِهِمْ,غِشَٰوَةٌۭ,ۖ,وَلَهُمْ,عَذَابٌ,عَظِيمٌۭ]"
2,The Cow,البقرة,Al-Baqarah,8,15,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,"And there are some who say, “We believe in Allah and the Last Day,” yet they are not ˹true˺ believers.",3,1,1,1,286,6236,Medinan,FALSE,NA,11,"[وَمِنَ,ٱلنَّاسِ,مَن,يَقُولُ,ءَامَنَّا,بِٱللَّهِ,وَبِٱلْيَوْمِ,ٱلْءَاخِرِ,وَمَا,هُم,بِمُؤْمِنِينَ]"
2,The Cow,البقرة,Al-Baqarah,9,16,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.",3,1,1,1,286,6236,Medinan,FALSE,NA,10,"[يُخَٰدِعُونَ,ٱللَّهَ,وَٱلَّذِينَ,ءَامَنُوا۟,وَمَا,يَخْدَعُونَ,إِلَّآ,أَنفُسَهُمْ,وَمَا,يَشْعُرُونَ]"
2,The Cow,البقرة,Al-Baqarah,10,17,فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,"There is sickness in their hearts, and Allah ˹only˺ lets their sickness increase. They will suffer a painful punishment for their lies.",3,1,1,1,286,6236,Medinan,FALSE,NA,13,"[فِى,قُلُوبِهِم,مَّرَضٌۭ,فَزَادَهُمُ,ٱللَّهُ,مَرَضًۭا,ۖ,وَلَهُمْ,عَذَابٌ,أَلِيمٌۢ,بِمَا,كَانُوا۟,يَكْذِبُونَ]"
2,The Cow,البقرة,Al-Baqarah,11,18,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,"When they are told, “Do not spread corruption in the land,” they reply, “We are only peace-makers!”",3,1,1,1,286,6236,Medinan,FALSE,NA,11,"[وَإِذَا,قِيلَ,لَهُمْ,لَا,تُفْسِدُوا۟,فِى,ٱلْأَرْضِ,قَالُوٓا۟,إِنَّمَا,نَحْنُ,مُصْلِحُونَ]"
2,The Cow,البقرة,Al-Baqarah,12,19,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,"Indeed, it is they who are the corruptors, but they fail to perceive it.",3,1,1,1,286,6236,Medinan,FALSE,NA,7,"[أَلَآ,إِنَّهُمْ,هُمُ,ٱلْمُفْسِدُونَ,وَلَٰكِن,لَّا,يَشْعُرُونَ]"
2,The Cow,البقرة,Al-Baqarah,13,20,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,"And when they are told, “Believe as others believe,” they reply, “Will we believe as the fools believe?” Indeed, it is they who are fools, but they do not know.",3,1,1,1,286,6236,Medinan,FALSE,NA,20,"[وَإِذَا,قِيلَ,لَهُمْ,ءَامِنُوا۟,كَمَآ,ءَامَنَ,ٱلنَّاسُ,قَالُوٓا۟,أَنُؤْمِنُ,كَمَآ,ءَامَنَ,ٱلسُّفَهَآءُ,ۗ,أَلَآ,إِنَّهُمْ,هُمُ,ٱلسُّفَهَآءُ,وَلَٰكِن,لَّا,يَعْلَمُونَ]"
2,The Cow,البقرة,Al-Baqarah,14,21,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,"When they meet the believers they say, “We believe.” But when alone with their evil associates they say, “We are definitely with you; we were only mocking.”",3,1,1,1,286,6236,Medinan,FALSE,NA,16,"[وَإِذَا,لَقُوا۟,ٱلَّذِينَ,ءَامَنُوا۟,قَالُوٓا۟,ءَامَنَّا,وَإِذَا,خَلَوْا۟,إِلَىٰ,شَيَٰطِينِهِمْ,قَالُوٓا۟,إِنَّا,مَعَكُمْ,إِنَّمَا,نَحْنُ,مُسْتَهْزِءُونَ]"
2,The Cow,البقرة,Al-Baqarah,15,22,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,"Allah will throw their mockery back at them, leaving them to continue wandering blindly in their defiance.",3,1,1,1,286,6236,Medinan,FALSE,NA,7,"[ٱللَّهُ,يَسْتَهْزِئُ,بِهِمْ,وَيَمُدُّهُمْ,فِى,طُغْيَٰنِهِمْ,يَعْمَهُونَ]"
2,The Cow,البقرة,Al-Baqarah,16,23,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,"They are the ones who trade guidance for misguidance. But this trade is profitless, and they are not ˹rightly˺ guided.",3,1,1,1,286,6236,Medinan,FALSE,NA,11,"[أُو۟لَٰٓئِكَ,ٱلَّذِينَ,ٱشْتَرَوُا۟,ٱلضَّلَٰلَةَ,بِٱلْهُدَىٰ,فَمَا,رَبِحَت,تِّجَٰرَتُهُمْ,وَمَا,كَانُوا۟,مُهْتَدِينَ]"
2,The Cow,البقرة,Al-Baqarah,17,24,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍۢ لَّا يُبْصِرُونَ,"Their example is that of someone who kindles a fire, but when it lights up all around them, Allah takes away their light, leaving them in complete darkness—unable to see.",3,1,1,1,286,6236,Medinan,FALSE,NA,17,"[مَثَلُهُمْ,كَمَثَلِ,ٱلَّذِى,ٱسْتَوْقَدَ,نَارًۭا,فَلَمَّآ,أَضَآءَتْ,مَا,حَوْلَهُۥ,ذَهَبَ,ٱللَّهُ,بِنُورِهِمْ,وَتَرَكَهُمْ,فِى,ظُلُمَٰتٍۢ,لَّا,يُبْصِرُونَ]"
2,The Cow,البقرة,Al-Baqarah,18,25,صُمٌّۢ بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ,"They are ˹wilfully˺ deaf, dumb, and blind, so they will never return ˹to the Right Path˺.",3,1,1,1,286,6236,Medinan,FALSE,NA,6,"[صُمٌّۢ,بُكْمٌ,عُمْىٌۭ,فَهُمْ,لَا,يَرْجِعُونَ]"
2,The Cow,البقرة,Al-Baqarah,19,26,أَوْ كَصَيِّبٍۢ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌۭ وَرَعْدٌۭ وَبَرْقٌۭ يَجْعَلُونَ أَصَٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ ۚ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَٰفِرِينَ,"Or ˹those caught in˺ a rainstorm from the sky with darkness, thunder, and lightning. They press their fingers into their ears at the sound of every thunder-clap for fear of death. And Allah encompasses the disbelievers ˹by His might˺.",3,1,1,1,286,6236,Medinan,FALSE,NA,20,"[أَوْ,كَصَيِّبٍۢ,مِّنَ,ٱلسَّمَآءِ,فِيهِ,ظُلُمَٰتٌۭ,وَرَعْدٌۭ,وَبَرْقٌۭ,يَجْعَلُونَ,أَصَٰبِعَهُمْ,فِىٓ,ءَاذَانِهِم,مِّنَ,ٱلصَّوَٰعِقِ,حَذَرَ,ٱلْمَوْتِ,ۚ,وَٱللَّهُ,مُحِيطٌۢ,بِٱلْكَٰفِرِينَ]"
2,The Cow,البقرة,Al-Baqarah,20,27,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ ۚ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ,"It is as if the lightning were about to snatch away their sight. Whenever lightning strikes, they walk in its light, but when darkness covers them, they stand still. Had Allah willed, He could have taken away their hearing and sight. Surely Allah is Most Capable of everything.",3,1,1,1,286,6236,Medinan,FALSE,NA,28,"[يَكَادُ,ٱلْبَرْقُ,يَخْطَفُ,أَبْصَٰرَهُمْ,ۖ,كُلَّمَآ,أَضَآءَ,لَهُم,مَّشَوْا۟,فِيهِ,وَإِذَآ,أَظْلَمَ,عَلَيْهِمْ,قَامُوا۟,ۚ,وَلَوْ,شَآءَ,ٱللَّهُ,لَذَهَبَ,بِسَمْعِهِمْ,وَأَبْصَٰرِهِمْ,ۚ,إِنَّ,ٱللَّهَ,عَلَىٰ,كُلِّ,شَىْءٍۢ,قَدِيرٌۭ]"
2,The Cow,البقرة,Al-Baqarah,21,28,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,"O humanity! Worship your Lord, Who created you and those before you, so that you may become mindful ˹of Him˺.",4,1,1,1,286,6236,Medinan,FALSE,NA,11,"[يَٰٓأَيُّهَا,ٱلنَّاسُ,ٱعْبُدُوا۟,رَبَّكُمُ,ٱلَّذِى,خَلَقَكُمْ,وَٱلَّذِينَ,مِن,قَبْلِكُمْ,لَعَلَّكُمْ,تَتَّقُونَ]"
2,The Cow,البقرة,Al-Baqarah,22,29,ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ فِرَٰشًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًۭا لَّكُمْ ۖ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًۭا وَأَنتُمْ تَعْلَمُونَ,"˹He is the One˺ Who has made the earth a place of settlement for you and the sky a canopy; and sends down rain from the sky, causing fruits to grow as a provision for you. So do not knowingly set up equals to Allah ˹in worship˺.",4,1,1,1,286,6236,Medinan,FALSE,NA,24,"[ٱلَّذِى,جَعَلَ,لَكُمُ,ٱلْأَرْضَ,فِرَٰشًۭا,وَٱلسَّمَآءَ,بِنَآءًۭ,وَأَنزَلَ,مِنَ,ٱلسَّمَآءِ,مَآءًۭ,فَأَخْرَجَ,بِهِۦ,مِنَ,ٱلثَّمَرَٰتِ,رِزْقًۭا,لَّكُمْ,ۖ,فَلَا,تَجْعَلُوا۟,لِلَّهِ,أَندَادًۭا,وَأَنتُمْ,تَعْلَمُونَ]"
2,The Cow,البقرة,Al-Baqarah,23,30,وَإِن كُنتُمْ فِى رَيْبٍۢ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا۟ بِسُورَةٍۢ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمْ صَٰدِقِينَ,"And if you are in doubt about what We have revealed to Our servant, then produce a sûrah like it and call your helpers other than Allah, if what you say is true.",4,1,1,1,286,6236,Medinan,FALSE,NA,20,"[وَإِن,كُنتُمْ,فِى,رَيْبٍۢ,مِّمَّا,نَزَّلْنَا,عَلَىٰ,عَبْدِنَا,فَأْتُوا۟,بِسُورَةٍۢ,مِّن,مِّثْلِهِۦ,وَٱدْعُوا۟,شُهَدَآءَكُم,مِّن,دُونِ,ٱللَّهِ,إِن,كُنتُمْ,صَٰدِقِينَ]"
2,The Cow,البقرة,Al-Baqarah,24,31,فَإِن لَّمْ تَفْعَلُوا۟ وَلَن تَفْعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَٰفِرِينَ,"But if you are unable to do so—and you will never be able to do so—then fear the Fire fuelled with people and stones, which is prepared for the disbelievers.",4,1,1,1,286,6236,Medinan,FALSE,NA,14,"[فَإِن,لَّمْ,تَفْعَلُوا۟,وَلَن,تَفْعَلُوا۟,فَٱتَّقُوا۟,ٱلنَّارَ,ٱلَّتِى,وَقُودُهَا,ٱلنَّاسُ,وَٱلْحِجَارَةُ,ۖ,أُعِدَّتْ,لِلْكَٰفِرِينَ]"
2,The Cow,البقرة,Al-Baqarah,25,32,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۖ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍۢ رِّزْقًۭا ۙ قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًۭا ۖ وَلَهُمْ فِيهَآ أَزْوَٰجٌۭ مُّطَهَّرَةٌۭ ۖ وَهُمْ فِيهَا خَٰلِدُونَ,"Give good news ˹O Prophet˺ to those who believe and do good that they will have Gardens under which rivers flow. Whenever provided with fruit, they will say, “This is what we were given before,” for they will be served fruit that looks similar ˹but tastes different˺. They will have pure spouses, and they will be there forever.",4,1,1,1,286,6236,Medinan,FALSE,NA,39,"[وَبَشِّرِ,ٱلَّذِينَ,ءَامَنُوا۟,وَعَمِلُوا۟,ٱلصَّٰلِحَٰتِ,أَنَّ,لَهُمْ,جَنَّٰتٍۢ,تَجْرِى,مِن,تَحْتِهَا,ٱلْأَنْهَٰرُ,ۖ,كُلَّمَا,رُزِقُوا۟,مِنْهَا,مِن,ثَمَرَةٍۢ,رِّزْقًۭا,ۙ,قَالُوا۟,هَٰذَا,ٱلَّذِى,رُزِقْنَا,مِن,قَبْلُ,ۖ,وَأُتُوا۟,بِهِۦ,مُتَشَٰبِهًۭا,ۖ,وَلَهُمْ,فِيهَآ,أَزْوَٰجٌۭ,مُّطَهَّرَةٌۭ,ۖ,وَهُمْ,فِيهَا,خَٰلِدُونَ]"
2,The Cow,البقرة,Al-Baqarah,26,33,۞ إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًۭا مَّا بَعُوضَةًۭ فَمَا فَوْقَهَا ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًۭا ۘ يُضِلُّ بِهِۦ كَثِيرًۭا وَيَهْدِى بِهِۦ كَثِيرًۭا ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,"Surely Allah does not shy away from using the parable of a mosquito or what is even smaller. As for the believers, they know that it is the truth from their Lord. And as for the disbelievers, they argue, “What does Allah mean by such a parable?” Through this ˹test˺, He leaves many to stray, and guides many. And He leaves none to stray except the rebellious—",4,1,1,2,286,6236,Medinan,FALSE,NA,44,"[۞,إِنَّ,ٱللَّهَ,لَا,يَسْتَحْىِۦٓ,أَن,يَضْرِبَ,مَثَلًۭا,مَّا,بَعُوضَةًۭ,فَمَا,فَوْقَهَا,ۚ,فَأَمَّا,ٱلَّذِينَ,ءَامَنُوا۟,فَيَعْلَمُونَ,أَنَّهُ,ٱلْحَقُّ,مِن,رَّبِّهِمْ,ۖ,وَأَمَّا,ٱلَّذِينَ,كَفَرُوا۟,فَيَقُولُونَ,مَاذَآ,أَرَادَ,ٱللَّهُ,بِهَٰذَا,مَثَلًۭا,ۘ,يُضِلُّ,بِهِۦ,كَثِيرًۭا,وَيَهْدِى,بِهِۦ,كَثِيرًۭا,ۚ,وَمَا,يُضِلُّ,بِهِۦٓ,إِلَّا,ٱلْفَٰسِقِينَ]"
2,The Cow,البقرة,Al-Baqarah,27,34,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ ۚ أُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,"those who violate Allah’s covenant after it has been affirmed, break whatever ˹ties˺ Allah has ordered to be maintained, and spread corruption in the land. It is they who are the ˹true˺ losers.",4,1,1,2,286,6236,Medinan,FALSE,NA,21,"[ٱلَّذِينَ,يَنقُضُونَ,عَهْدَ,ٱللَّهِ,مِنۢ,بَعْدِ,مِيثَٰقِهِۦ,وَيَقْطَعُونَ,مَآ,أَمَرَ,ٱللَّهُ,بِهِۦٓ,أَن,يُوصَلَ,وَيُفْسِدُونَ,فِى,ٱلْأَرْضِ,ۚ,أُو۟لَٰٓئِكَ,هُمُ,ٱلْخَٰسِرُونَ]"
2,The Cow,البقرة,Al-Baqarah,28,35,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنتُمْ أَمْوَٰتًۭا فَأَحْيَٰكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,"How can you deny Allah? You were lifeless and He gave you life, then He will cause you to die and again bring you to life, and then to Him you will ˹all˺ be returned.",4,1,1,2,286,6236,Medinan,FALSE,NA,14,"[كَيْفَ,تَكْفُرُونَ,بِٱللَّهِ,وَكُنتُمْ,أَمْوَٰتًۭا,فَأَحْيَٰكُمْ,ۖ,ثُمَّ,يُمِيتُكُمْ,ثُمَّ,يُحْيِيكُمْ,ثُمَّ,إِلَيْهِ,تُرْجَعُونَ]"
2,The Cow,البقرة,Al-Baqarah,29,36,هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلْأَرْضِ جَمِيعًۭا ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبْعَ سَمَٰوَٰتٍۢ ۚ وَهُوَ بِكُلِّ شَىْءٍ عَلِيمٌۭ,"He is the One Who created everything in the earth for you. Then He turned towards the heaven, forming it into seven heavens. And He has ˹perfect˺ knowledge of all things.",4,1,1,2,286,6236,Medinan,FALSE,NA,20,"[هُوَ,ٱلَّذِى,خَلَقَ,لَكُم,مَّا,فِى,ٱلْأَرْضِ,جَمِيعًۭا,ثُمَّ,ٱسْتَوَىٰٓ,إِلَى,ٱلسَّمَآءِ,فَسَوَّىٰهُنَّ,سَبْعَ,سَمَٰوَٰتٍۢ,ۚ,وَهُوَ,بِكُلِّ,شَىْءٍ,عَلِيمٌۭ]"
2,The Cow,البقرة,Al-Baqarah,30,37,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,"˹Remember˺ when your Lord said to the angels, “I am going to place a successive ˹human˺ authority on earth.” They asked ˹Allah˺, “Will You place in it someone who will spread corruption there and shed blood while we glorify Your praises and proclaim Your holiness?” Allah responded, “I know what you do not know.”",5,1,1,2,286,6236,Medinan,FALSE,NA,30,"[وَإِذْ,قَالَ,رَبُّكَ,لِلْمَلَٰٓئِكَةِ,إِنِّى,جَاعِلٌۭ,فِى,ٱلْأَرْضِ,خَلِيفَةًۭ,ۖ,قَالُوٓا۟,أَتَجْعَلُ,فِيهَا,مَن,يُفْسِدُ,فِيهَا,وَيَسْفِكُ,ٱلدِّمَآءَ,وَنَحْنُ,نُسَبِّحُ,بِحَمْدِكَ,وَنُقَدِّسُ,لَكَ,ۖ,قَالَ,إِنِّىٓ,أَعْلَمُ,مَا,لَا,تَعْلَمُونَ]"
