,lemma,buckwalter,frequency,part_of_speech
57,مُوسَىٰ,muwsaY`,136,Proper noun
58,دُون,duwn,135,Noun
59,آخِر,A^xir,133,Noun
60,بَعْد,baEod,133,Noun
61,قَلْب,qalob,132,Noun
62,عَبْد,Eabod,131,Noun
63,أَهْل,>ahol,127,Noun
64,لَعَلّ,laEal~,123,Accusative particle
65,بَل,bal,122,Retraction particle
66,يَد,yad,120,Noun
67,كَٰفِرُون,ka`firuwn,119,Noun
68,إِن,<in,114,Negative particle
69,رَحْمَة,raHomap,114,Noun
70,رَّحِيم,r~aHiym,112,Adjective
71,أَجْر,>ajor,105,Noun
72,ظَالِم,ZaAlim,105,Noun
73,عِلْم,Eilom,105,Noun
74,عَظِيم,EaZiym,104,Adjective
75,لَن,lan,104,Negative particle
76,إِلَّا,<il~aA,102,Exceptive particle
77,عَلِيم,Ealiym,101,Adjective
78,جَنَّة,jan~ap,96,Noun
79,حَتَّىٰ,Hat~aY`,95,Preposition
80,هَل,hal,93,Interogative particle
81,دِين,diyn,92,Noun
82,قَوْل,qawol,92,Noun
83,مَا,maA,92,Interogative particle
84,ذُو,*uw,90,Noun
85,مَلَك,malak,88,Noun
86,مَثَل,maval,87,Noun
87,مَال,maAl,86,Noun
88,وَلِىّ,waliY~,86,Noun
89,هُدًى,hudFY,85,Noun
90,حَكِيم,Hakiym,84,Adjective
91,فَضْل,faDol,84,Noun
92,صَلَوٰة,Salaw`p,83,Noun
93,لَيْل,layol,82,Noun
94,بُنَىّ,bunaY~,80,Noun
95,شَيْطَٰن,$ayoTa`n,80,Proper noun
96,كَيْف,kayof,80,Interogative particle
97,يَوْم,yawom,80,Time adverb
98,مَا,maA,79,Subordinating conjunction
99,أَصْحَٰب,>aSoHa`b,78,Noun
100,أَكْثَر,>akovar,78,Noun
101,جَهَنَّم,jahan~am,77,Proper noun
102,حَيَوٰة,Hayaw`p,76,Noun
103,ذِكْر,*ikor,76,Noun
104,زَوْج,zawoj,76,Noun
105,أَخ,>ax,75,Noun
106,مِثْل,mivol,75,Noun
107,نَّبِىّ,n~abiY~,75,Noun
108,أَحَد,>aHad,74,Noun
109,خَٰلِد,xa`lid,74,Noun
110,دُّنْيَا,d~unoyaA,74,Adjective
111,فِرْعَوْن,firoEawon,74,Proper noun
112,عَٰلَمِين,Ea`lamiyn,73,Noun
113,أَلِيم,>aliym,72,Adjective
114,مُّبِين,m~ubiyn,72,Noun
115,إِنسَٰن,<insa`n,71,Noun
116,عَمَل,Eamal,71,Noun
117,وَجْه,wajoh,71,Noun
118,قِيَٰمَة,qiya`map,70,Noun
119,يَوْمَئِذ,yawoma}i*,70,Time adverb
120,إِبْرَاهِيم,<iboraAhiym,69,Proper noun
121,قُرْءَان,quro'aAn,68,Proper noun
122,بَعْد,baEod,66,Time adverb
123,بَيْت,bayot,65,Noun
124,لَٰكِن,la`kin,65,Amendment particle
125,يَمِين,yamiyn,65,Noun
126,آبَاء,A^baA',64,Noun
127,أُمَّة,>um~ap,64,Noun
128,ٱبْن,{bon,63,Noun
129,عَزِيز,Eaziyz,63,Noun
130,مَآء,maA^',63,Noun
131,صَّٰلِحَٰت,S~a`liHa`t,62,Noun
132,عَلِيم,Ealiym,62,Noun
133,غَفُور,gafuwr,62,Noun
134,أَوَّل,>aw~al,61,Noun
135,صَٰلِح,Sa`liH,60,Noun
136,صَادِق,SaAdiq,59,Noun
137,نِسَآء,nisaA^',59,Noun
138,نَذِير,na*iyr,58,Noun
139,عَيْن,Eayon,57,Noun
140,قَرْيَة,qaroyap,57,Noun
141,لَٰكِنّ,la`kin~,57,Accusative particle
142,نَهَار,nahaAr,56,Noun
143,وَلَد,walad,56,Noun
144,بَيِّنَة,bay~inap,55,Noun
145,رِزْق,rizoq,55,Noun
146,نَهَر,nahar,54,Noun
147,جَمِيع,jamiyE,53,Noun
148,أَجَل,>ajal,52,Noun
149,خَلْق,xaloq,52,Noun
150,جَنَّة,jan~ap,51,Proper noun
151,سُوٓء,suw^',50,Noun
152,مَوْت,mawot,50,Noun
153,نِعْمَة,niEomap,50,Noun
154,عَدُوّ,Eaduw~,49,Noun
155,غَيْب,gayob,49,Noun
156,مُتَّقِين,mut~aqiyn,49,Noun
157,وَعْد,waEod,49,Noun
158,بَصَر,baSar,48,Noun
159,تَحْت,taHot,48,Noun
160,دَار,daAr,48,Noun
161,مُلْك,mulok,48,Noun
162,أَن,>an,47,Particle of interpretation
163,حَتَّىٰ,Hat~aY`,47,Inceptive particle
164,سَاعَة,saAEap,47,Noun
165,مُّبِين,m~ubiyn,47,Adjective
166,أَبٌ,>abN,46,Noun
167,أُولِى,>uwliY,45,Noun
168,إِيمَٰن,<iyma`n,45,Noun
169,رَّحْمَٰن,r~aHoma`n,45,Noun
170,صِرَٰط,Sira`T,45,Noun
171,قَبْل,qabol,45,Time adverb
172,آخَر,A^xar,44,Noun
173,أَمَّا,>am~aA,44,Explanation particle
174,صَدْر,Sador,44,Noun
175,قَدِير,qadiyr,44,Noun
176,مُجْرِم,mujorim,44,Noun
177,مُشْرِك,mu$orik,44,Noun
178,إِسْرَائِيل,<isoraA}iyl,43,Proper noun
179,حَمْد,Hamod,43,Noun
180,قَلِيل,qaliyl,43,Noun
181,نُوح,nuwH,43,Proper noun
182,نُور,nuwr,43,Noun
183,جَزَآء,jazaA^',42,Noun
184,سَوْف,sawof,42,Future particle
185,كَثِير,kaviyr,42,Noun
186,بَحْر,baHor,41,Noun
187,دُّنْيَا,d~unoyaA,41,Noun
188,سُبْحَٰن,suboHa`n,41,Noun
189,سَلَٰم,sala`m,41,Noun
190,شَرِيك,$ariyk,40,Noun
191,شَهِيد,$ahiyd,40,Noun
192,لَوْلَآ,lawolaA^,40,Exhortation particle
193,وَيْل,wayol,40,Noun
194,إِذْن,<i*on,39,Noun
195,ٱسْم,{som,39,Noun
196,أَلَآ,>alaA^,39,Inceptive particle
197,جَبَل,jabal,39,Noun
198,سَمِيع,samiyE,39,Noun
199,حِسَاب,HisaAb,38,Noun
200,ضَلَٰل,Dala`l,38,Noun
201,عَزِيز,Eaziyz,38,Adjective
202,مُحْسِن,muHosin,38,Noun
203,بَشَر,ba$ar,37,Noun
204,ذَنب,*anb,37,Noun
205,سُلْطَٰن,suloTa`n,37,Noun
206,عِند,Eind,37,Noun
207,كُفْر,kufor,37,Noun
208,سَيِّـَٔات,say~i_#aAt,36,Noun
209,شَدِيد,$adiyd,36,Adjective
210,إِثْم,<ivom,35,Noun
211,أَحْسَن,>aHosan,35,Noun
212,أَىّ,>aY~,35,Interogative particle
213,لَوْلَآ,lawolaA^,35,Conditional particle
214,مَتَٰع,mata`E,35,Noun
215,أُمّ,>um~,34,Noun
216,فِتْنَة,fitonap,34,Noun
217,مُّرْسَل,m~urosal,34,Noun
218,مَرْيَم,maroyam,34,Proper noun
219,مَّعْرُوف,m~aEoruwf,34,Noun
220,مَن,man,34,Interogative particle
221,مَّيِّت,m~ay~it,34,Noun
222,نَصِير,naSiyr,34,Noun
223,ءَالَآء,'aAlaA^',34,Noun
224,أَعْلَم,>aEolam,33,Noun
225,شَمْس,$amos,33,Noun
226,فَرِيق,fariyq,33,Noun
227,كَذِب,ka*ib,33,Noun
228,كَلَّا,kal~aA,33,Aversion particle
229,نَّعَم,n~aEam,33,Noun
230,خَٰسِرِين,xa`siriyn,32,Noun
231,زَكَوٰة,zakaw`p,32,Noun
232,عَٰقِبَة,Ea`qibap,32,Noun
233,كَبِير,kabiyr,32,Adjective
234,بَصِير,baSiyr,31,Noun
235,حِين,Hiyn,31,Noun
236,كَٰذِب,ka`*ib,31,Noun
237,حُكْم,Hukom,30,Noun
238,خَيْر,xayor,30,Adjective
239,شَرّ,$ar~,30,Noun
240,قُوَّة,quw~ap,30,Noun
241,مَلَأ,mala>,30,Noun
242,جُند,jund,29,Noun
243,رَجُل,rajul,29,Noun
244,رِيح,riyH,29,Noun
245,عَرْش,Earo$,29,Noun
246,عَهْد,Eahod,29,Noun
247,غَفُور,gafuwr,29,Adjective
248,كَأَنّ,ka>an~,29,Accusative particle
249,نَبَأ,naba>,29,Noun
250,أَبَدًا,>abadFA,28,Time adverb
251,أَشَدّ,>a$ad~,28,Noun
252,حَدِيث,Hadiyv,28,Noun
253,ذُرِّيَّة,*ur~iy~ap,28,Noun
254,رِجَال,rijaAl,28,Noun
255,سِحْر,siHor,28,Noun
256,كَرِيم,kariym,28,Adjective
257,كَلِمَة,kalimap,28,Noun
258,مَسْجِد,masojid,28,Noun
259,مَصِير,maSiyr,28,Noun
260,مَّغْفِرَة,m~agofirap,28,Noun
261,أَنَّىٰ,>an~aY`,27,Interogative particle
262,بَاب,baAb,27,Noun
263,غَٰفِل,ga`fil,27,Noun
264,قَلِيل,qaliyl,27,Adjective
265,قَمَر,qamar,27,Noun
266,كَافِر,kaAfir,27,Noun
267,لُوط,luwT,27,Proper noun
268,مُنَٰفِقُون,muna`fiquwn,27,Noun
269,يُوسُف,yuwsuf,27,Proper noun
270,آخَر,A^xar,26,Adjective
271,أَجْمَعِين,>ajomaEiyn,26,Noun
272,ٱمْرَأَت,{mora>at,26,Noun
273,بَٰطِل,ba`Til,26,Noun
274,ثَمُود,vamuwd,26,Proper noun
275,جَحِيم,jaHiym,26,Noun
276,خَوْف,xawof,26,Noun
277,سَوَآء,sawaA^',26,Noun
278,كَيْد,kayod,26,Noun
279,مَاذَا,maA*aA,26,Interogative particle
280,ءَال,'aAl,26,Noun
281,آدَم,A^dam,25,Proper noun
282,بَأْس,ba>os,25,Noun
283,جُنَاح,junaAH,25,Noun
284,حَسَنَة,Hasanap,25,Noun
285,عِيسَى,EiysaY,25,Proper noun
286,فَوْق,fawoq,25,Noun
287,لِسَان,lisaAn,25,Noun
288,مَّكَان,m~akaAn,25,Noun
289,مِّيثَٰق,m~iyva`q,25,Noun
290,أُنثَىٰ,>unvaY`,24,Noun
291,أَىّ,>aY~,24,Noun
292,إِيَّا,<iy~aA,24,Personal pronoun
293,طَعَام,TaEaAm,24,Noun
294,ظَالِم,ZaAlim,24,Adjective
295,عَاد,EaAd2,24,Proper noun
296,فَاسِق,faAsiq,24,Noun
297,لِقَآء,liqaA^',24,Noun
298,مُسْلِم,musolim,24,Noun
299,وَٰحِد,wa`Hid,24,Adjective
300,وَكِيل,wakiyl,24,Noun
301,بَيْن,bayon,23,Noun
302,حَيّ,Hay~,23,Noun
303,خَبِير,xabiyr,23,Adjective
304,ذِكْرَىٰ,*ikoraY`,23,Noun
305,شَهَٰدَة,$aha`dap,23,Noun
306,طَآئِفَة,TaA^}ifap,23,Noun
307,فُلْك,fulok,23,Noun
308,قَرْن,qaron,23,Noun
309,مَا,maA,23,Conditional particle
310,مُّسْتَقِيم,m~usotaqiym,23,Noun
311,ٱلَّذِى,{l~a*iY,22,Conditional particle
312,إِمَّا,<im~aA,22,Explanation particle
313,بَلَىٰ,balaY`,22,Answer particle
314,جِنّ,jin~,22,Noun
315,خَبِير,xabiyr,22,Noun
316,دُعَآء,duEaA^',22,Noun
317,سَٰحِر,sa`Hir,22,Noun
318,سَبْع,saboE,22,Noun
319,سَمْع,samoE,22,Noun
320,ظُلُمَٰت,Zuluma`t,22,Noun
321,مَأْوَىٰ,ma>owaY`,22,Noun
322,مِسْكِين,misokiyn,22,Noun
323,نَصْر,naSor,22,Noun
324,وَٰحِدَة,wa`Hidap,22,Noun
325,آخِر,A^xir,21,Adjective
326,بَرّ,bar~,21,Noun
327,رُوح,ruwH,21,Noun
328,سَيِّئَة,say~i}ap,21,Noun
329,شَهْر,$ahor,21,Noun
330,طَيِّبَٰت,Tay~iba`t,21,Noun
331,ظَنّ,Zan~,21,Noun
332,كَثِير,kaviyr,21,Adjective
333,مُفْسِد,mufosid,21,Noun
334,مُّكَذِّبِين,m~uka*~ibiyn,21,Noun
335,نَصِيب,naSiyb,21,Noun
336,يَتِيم,yatiym,21,Noun
337,بَصِير,baSiyr,20,Adjective
338,بَعِيد,baEiyd,20,Adjective
339,حِزْب,Hizob,20,Noun
340,حَسَن,Hasan,20,Adjective
341,حِكْمَة,Hikomap,20,Noun
342,شَدِيد,$adiyd,20,Noun
343,ظُلْم,Zulom,20,Noun
344,عِقَاب,EiqaAb,20,Noun
345,غَنِىّ,ganiY~,20,Noun
346,كَم,kam,20,Interogative particle
347,لَدَي,laday,20,Location adverb
348,هَٰرُون,ha`ruwn,20,Proper noun
349,أَوَّل,>aw~al,19,Adjective
350,زِينَة,ziynap,19,Noun
351,شَاهِد,$aAhid,19,Noun
352,شَجَرَة,$ajarap,19,Noun
353,صَابِر,SaAbir,19,Noun
354,ضُرّ,Dur~,19,Noun
355,طَيْر,Tayor,19,Noun
356,فَوْز,fawoz,19,Noun
357,مَرَّة,mar~ap,19,Noun
358,مُّعْرِضُون,m~uEoriDuwn,19,Noun
359,مَكْر,makor,19,Noun
360,إِذًا,<i*FA,18,Surprise particle
361,أُذُنٌ,>u*unN,18,Noun
362,أَعْمَىٰ,>aEomaY`,18,Noun
363,إِنس,<ins,18,Noun
364,تَّوْرَىٰة,t~aworaY`p,18,Proper noun
365,دَآبَّة,daA^b~ap,18,Noun
366,دُبُر,dubur,18,Noun
367,دَرَجَة,darajap,18,Noun
368,ذَا,*aA,18,Noun
369,ذَكَر,*akar,18,Noun
370,رَأْس,ra>os,18,Noun
371,رَيْب,rayob,18,Noun
372,سَاجِد,saAjid,18,Noun
373,عَٰلِم,Ea`lim,18,Noun
374,مُنكَر,munkar,18,Noun
375,مَوْلَىٰ,mawolaY`,18,Noun
376,مُّؤْمِنَٰت,m~u&omina`t,18,Noun
377,إِسْحَاق,<isoHaAq,17,Proper noun
378,أَقْرَب,>aqorab,17,Noun
379,أَهْوَآء,>ahowaA^',17,Noun
380,بَطْن,baTon,17,Noun
381,بَنَات,banaAt,17,Noun
382,تَأْوِيل,ta>owiyl,17,Noun
383,تُرَاب,turaAb,17,Noun
384,تَقْوَى,taqowaY,17,Noun
385,حَرَام,HaraAm,17,Adjective
386,خَلْف,xalof,17,Noun
387,سُلَيْمَٰن,sulayoma`n,17,Proper noun
388,فَٰحِشَة,fa`Hi$ap,17,Noun
389,قَآئِم,qaA^}im,17,Noun
390,لَّدُن,l~adun,17,Noun
391,مُّهْتَدُون,m~uhotaduwn,17,Noun
392,نَعِيم,naEiym,17,Noun
393,أَظْلَم,>aZolam,16,Noun
394,أَعْلَم,>aEolam,16,Adjective
395,أَلْبَٰب,>aloba`b,16,Noun
396,بَيِّنَة,bay~inap,16,Adjective
397,ثَمَرَٰت,vamara`t,16,Noun
398,حَرَام,HaraAm,16,Noun
399,حَمِيد,Hamiyd,16,Adjective
400,حَيْث,Hayov,16,Noun
401,دَاوُد,daAwud,16,Proper noun
402,سَعِير,saEiyr,16,Noun
403,سُنَّة,sun~ap,16,Noun
404,شَهِيد,$ahiyd,16,Adjective
405,عَظِيم,EaZiym,16,Noun
406,فُؤَاد,fu&aAd,16,Noun
407,فَوْق,fawoq,16,Location adverb
408,قُرْبَىٰ,qurobaY`,16,Noun
409,لَو,law,16,Subordinating conjunction
410,مَرْجِع,marojiE,16,Noun
411,مُّسَمًّى,m~usam~FY,16,Noun
412,مِيزَان,miyzaAn,16,Noun
413,يَعْقُوب,yaEoquwb,16,Proper noun
414,بُشْرَىٰ,bu$oraY`,15,Noun
415,بَلَٰغ,bala`g,15,Noun
416,تَنزِيل,tanziyl,15,Noun
417,رِجْل,rijol,15,Noun
418,شَكّ,$ak~,15,Noun
419,صَبْر,Sabor,15,Noun
420,ظَهْر,Zahor,15,Noun
421,قَرِيب,qariyb,15,Adjective
422,قِسْط,qisoT,15,Noun
423,كُلَّمَا,kul~amaA,15,Time adverb
424,مُصَدِّق,muSad~iq,15,Noun
425,مِلَّة,mil~ap,15,Noun
426,مُنذِر,mun*ir,15,Noun
427,نَصْرَانِيّ,naSoraAniy~,15,Proper noun
428,ٱبْتِغَآء,{botigaA^',14,Noun
429,أَثَر,>avar,14,Noun
430,أُخْت,>uxot,14,Noun
431,إِذَا,<i*aA2,14,Surprise particle
432,أَلْف,>alof,14,Noun
433,أَمِين,>amiyn,14,Adjective
434,بَلَد,balad,14,Noun
435,حُدُود,Huduwd,14,Noun
436,حَرَج,Haraj,14,Noun
437,حَمِيم,Hamiym,14,Noun
438,خَاشِع,xaA$iE,14,Noun
439,شَاكِر,$aAkir,14,Noun
440,صِدْق,Sidoq,14,Noun
441,ظِلّ,Zil~,14,Noun
442,عَدْل,Eadol,14,Noun
443,غَضَب,gaDab,14,Noun
444,قَادِر,qaAdir,14,Noun
445,كَلِمَٰت,kalima`t,14,Noun
446,لَعْنَة,laEonap,14,Noun
447,لَيْت,layot,14,Accusative particle
448,مُّسْتَقِيم,m~usotaqiym,14,Adjective
449,مُسْلِم,musolim,14,Proper noun
450,مَقَام,maqaAm,14,Noun
451,وَالِد,waAlid,14,Noun
452,ٱثْنَيْن,{vonayon,13,Noun
453,إِذًا,<i*FA,13,Answer particle
454,أَكْبَر,>akobar,13,Noun
455,بَغْتَة,bagotap,13,Noun
456,ثَوَاب,vawaAb,13,Noun
457,جَمْع,jamoE,13,Noun
458,حَٰفِظ,Ha`fiZ,13,Noun
459,حَرْث,Harov,13,Noun
460,حُسْن,Huson,13,Noun
461,حَكِيم,Hakiym,13,Noun
462,حَوْل,Hawol,13,Noun
463,حَيْث,Hayov,13,Location adverb
464,رِضْوَٰن,riDowa`n,13,Noun
465,شَفَٰعَة,$afa`Eap,13,Noun
466,صَيْحَة,SayoHap,13,Noun
467,غَالِب,gaAlib,13,Noun
468,غُلَٰم,gula`m,13,Noun
469,فَاسِق,faAsiq,13,Adjective
470,قِتَال,qitaAl,13,Noun
471,مَا,maA,13,Supplemental particle
472,مَثْوًى,mavowFY,13,Noun
473,مَّرَض,m~araD,13,Noun
474,مُفْلِحُون,mufoliHuwn,13,Noun
475,مَلِك,malik,13,Noun
476,نَّجْم,n~ajom,13,Noun
477,إِحْسَٰن,<iHosa`n,12,Noun
478,أَرْحَام,>aroHaAm,12,Noun
479,إِسْمَاعِيل,<isomaAEiyl,12,Proper noun
480,أَصَمّ,>aSam~,12,Noun
481,أَفْوَٰه,>afowa`h,12,Noun
482,إِمَام,<imaAm,12,Noun
483,إِنجِيل,<injiyl,12,Proper noun
484,أَيْن,>ayon,12,Interogative particle
485,ثَلَٰثَة,vala`vap,12,Noun
486,حَنِيف,Haniyf,12,Noun
487,رَّحْمَٰن,r~aHoma`n,12,Adjective
488,طِين,Tiyn,12,Noun
489,عَٰمِل,Ea`mil,12,Noun
490,فَتْح,fatoH,12,Noun
491,لَحْم,laHom,12,Noun
492,مُسْرِف,musorif,12,Noun
493,مَسْكَن,masokan,12,Noun
494,مُعْجِز,muEojiz,12,Noun
495,مَّوْعِد,m~awoEid,12,Noun
496,نُّطْفَة,n~uTofap,12,Noun
497,وَرَآء,waraA^',12,Location adverb
498,وَرَآء,waraA^',12,Noun
499,وِزْر,wizor,12,Noun
500,إِبْلِيس,<iboliys,11,Proper noun
501,إِحْدَى,<iHodaY,11,Noun
502,أَكْبَر,>akobar,11,Adjective
503,أَمَّا,>am~aA,11,Conditional particle
504,بَرِىٓء,bariY^',11,Noun
505,بَغْي,bagoy,11,Noun
506,تَوَّاب,taw~aAb,11,Noun
507,ثَمَن,vaman,11,Noun
508,حَسْب,Hasob,11,Noun
509,حَلِيم,Haliym,11,Adjective
510,خَٰلِق,xa`liq,11,Noun
511,خِزْى,xizoY,11,Noun
512,سِرّ,sir~,11,Noun
513,سِنِين,siniyn,11,Noun
514,شَرَاب,$araAb,11,Noun
515,شُعَيْب,$uEayob,11,Proper noun
516,شِيعَة,$iyEap,11,Noun
517,ضَآلّ,DaA^l~,11,Noun
518,عَدْن,Eadon,11,Proper noun
519,عِدَّة,Eid~ap,11,Noun
520,عِزَّة,Eiz~ap,11,Noun
521,عِنَب,Einab,11,Noun
522,فَٰكِهَة,fa`kihap,11,Noun
523,فَسَاد,fasaAd,11,Noun
524,قَدَر,qadar,11,Noun
525,قَرِيب,qariyb,11,Noun
526,كَثِيرَة,kaviyrap,11,Adjective
527,مَجْنُون,majonuwn,11,Noun
528,مُخْلِص,muxoliS,11,Noun
529,مَسِيح,masiyH,11,Proper noun
530,مَشْرِق,ma$oriq,11,Noun
531,نَاصِر,naASir,11,Noun
532,نَجْوَىٰٓ,najowaY`^,11,Noun
533,نَخْل,naxol,11,Noun
534,نَفْع,nafoE,11,Noun
535,هُزُو,huzuw,11,Noun
536,هَوَآء,hawaA^',11,Noun
537,أَدْنَىٰ,>adonaY`,10,Noun
538,أَعْرَاب,>aEoraAb,10,Noun
539,جَاهِل,jaAhil,10,Noun
540,جِنَّة,jin~ap,10,Noun
541,حِجَارَة,HijaArap,10,Noun
542,حُسْنَىٰ,HusonaY`,10,Noun
543,خَيْرَٰت,xayora`t,10,Noun
544,دَم,dam,10,Noun
545,رِجْس,rijos,10,Noun
546,رَوَٰسِى,rawa`siY,10,Noun
547,رَءُوف,ra'uwf,10,Noun
548,زَرْع,zaroE,10,Noun
549,سَعْي,saEoy,10,Noun
550,سُورَة,suwrap,10,Noun
551,صَاحِب,SaAHib,10,Noun
552,صُّور,S~uwr,10,Noun
553,ضَرّ,Dar~,10,Noun
554,طُور,Tuwr,10,Noun
555,عَابِد,EaAbid,10,Noun
556,عِجْل,Eijol,10,Noun
557,عَرَبِيّ,Earabiy~,10,Adjective
558,عَصَا,EaSaA2,10,Noun
559,فَقِير,faqiyr,10,Noun
560,فِئَة,fi}ap,10,Noun
561,قَتْل,qatol,10,Noun
562,كَٰفِرُون,ka`firuwn,10,Adjective
563,كَيْل,kayol,10,Noun
564,لِبَاس,libaAs,10,Noun
565,لَهْو,lahow,10,Noun
566,مِائَة,miA}ap,10,Noun
567,مُّحْضَر,m~uHoDar,10,Noun
568,مُّخْتَلِف,m~uxotalif,10,Noun
569,مَدْيَن,madoyan,10,Proper noun
570,مَدِينَة,madiynap,10,Noun
571,مَّرِيض,m~ariyD,10,Noun
572,مُسْتَقَرّ,musotaqar~,10,Noun
573,مُّصِيبَة,m~uSiybap,10,Noun
574,مَغْرِب,magorib,10,Noun
575,وَٰلِدَي,wa`liday,10,Noun
576,يَسِير,yasiyr,10,Adjective
577,ءَامِنِين,'aAminiyn,10,Noun
578,آتِي,A^tiy,9,Noun
579,أَذًى,>a*FY,9,Noun
580,أَرْبَعَة,>arobaEap,9,Noun
581,أَسَٰطِير,>asa`Tiyr,9,Noun
582,أَضَلّ,>aDal~,9,Noun
583,إِفْك,<ifok,9,Noun
584,أَوْلَىٰ,>awolaY`,9,Noun
585,تِجَٰرَة,tija`rap,9,Noun
586,تَذْكِرَة,ta*okirap,9,Noun
587,جُلُود,juluwd,9,Noun
588,حُبّ,Hub~,9,Noun
589,حَجّ,Haj~,9,Noun
590,خَبِيث,xabiyv,9,Noun
591,خَلِيفَة,xaliyfap,9,Noun
592,دُون,duwn,9,Location adverb
593,رِجْز,rijoz,9,Noun
594,رَقَبَة,raqabap,9,Noun
595,سَبَب,sabab,9,Noun
596,سَحَاب,saHaAb,9,Noun
597,سَوْء,sawo',9,Noun
598,شَفِيع,$afiyE,9,Noun
599,شَكُور,$akuwr,9,Adjective
600,صَٰلِح,Sa`liH2,9,Proper noun
601,صِيَام,SiyaAm,9,Noun
602,ضَرَّآء,Dar~aA^',9,Noun
603,ضَلَٰلَة,Dala`lap,9,Noun
604,طُغْيَٰن,Tugoya`n,9,Noun
605,طَيِّبَة,Tay~ibap,9,Adjective
606,عَام,EaAm,9,Noun
607,عِبَادَت,EibaAdat,9,Noun
608,عُنُق,Eunuq,9,Noun
609,عِوَج,Eiwaj,9,Noun
610,غُرُور,guruwr,9,Noun
611,غِلّ,gil~,9,Noun
612,فَاعِل,faAEil,9,Noun
613,قَرَار,qaraAr,9,Noun
614,قَوِىّ,qawiY~,9,Noun
615,لَغْو,lagow,9,Noun
616,لَوْن,lawon,9,Noun
617,مُبَشِّر,muba$~ir,9,Noun
618,مَّبْعُوثُون,m~aboEuwvuwn,9,Noun
619,مَتَىٰ,mataY`,9,Interogative particle
620,مُحِيط,muHiyT,9,Noun
621,مَّعْلُوم,m~aEoluwm,9,Noun
622,مَّوْعِظَة,m~awoEiZap,9,Noun
623,مَـَٔاب,ma_#aAb,9,Noun
624,نَبَات,nabaAt,9,Noun
625,وَٰحِدَة,wa`Hidap,9,Adjective
626,وَٰسِع,wa`siE,9,Noun
627,يَهُودِيّ,yahuwdiy~,9,Proper noun
628,أَشُدّ,>a$ud~,8,Noun
629,بِرّ,bir~,8,Noun
630,بُرْهَٰن,buroha`n,8,Noun
631,ثِيَاب,viyaAb,8,Noun
632,جَانِب,jaAnib,8,Noun
633,جَدِيد,jadiyd,8,Adjective
634,جَنب,janb,8,Noun
635,خَزَآئِن,xazaA^}in,8,Noun
636,خَشْيَة,xa$oyap,8,Noun
637,خَطِيٓـَٔة,xaTiy^_#ap,8,Noun
638,خِلَٰل,xila`l,8,Noun
639,ذَهَب,*ahab,8,Noun
640,رَاكِع,raAkiE,8,Noun
641,سَرِيع,sariyE,8,Noun
642,سَمِيع,samiyE,8,Adjective
643,شِّمَال,$~imaAl,8,Noun
644,شَيْطَٰن,$ayoTa`n,8,Noun
645,صَاعِقَة,SaAEiqap,8,Noun
646,صُحُف,SuHuf,8,Noun
647,صَدَقَٰت,Sadaqa`t,8,Noun
