surah_no,ref_ayah_no_surah,translator,kind,text
2,6,yusuf_ali,footnote,"* v.6 : Kafara kufr, kafr, and derivative forms of the word, imply a deliberate rejection of Faith as opposed to a mistaken idea of God or faith, which is not inconsistent with an earnest desire to see the truth. Where there is such desire, the grace and mercy of God gives guidance. But that guidance is not efficacious when it is deliberately rejected and the possibility of rejection follows from the grant of free will. The consequence of the rejection is that the spiritual faculties become dead or impervious to better influences. See also n. 93 to ii.88"
2,7,yusuf_ali,footnote,"* v.7 : All actions are referred to God. Therefore, when we get the penalty of our deliberate sin, and our senses become impervious to good, the penalty is referred to the justice of God."
2,294,yusuf_ali,footnote,"* The penalty here is the opposite of the prosperity referred to in n 5. As we go down the path of sin, our penalty gathers momentum, just as goodness brings its own capacity for greater goodness."
2,8,yusuf_ali,footnote,"* v.8 : We now come to a third class of people, the hypocrites. They are untrue to themselves, and therefore their hearts, they soon pass into the category of those who deliberately reject light."
2,10,yusuf_ali,footnote,"* v.10 : The insincere man who thinks he can get the best of both worlds by compromising with good and evil only increased the disease of his heart, because he is not true to himself. Even the good which comes to him he can pervert to evil. So the rain which fills out the ear of corn or lends fragrance to the rose also lends strength to the thorn or adds strength to the poison of the deadly night-shade."
2,12,yusuf_ali,footnote,"* v.12 : Much mischief is caused (sometimes unwittingly) by people who think that they have a mission of peace, when they have not even a true perception of right and wrong. By their blind arrogance they depress the good and encourage the evil."
2,13,yusuf_ali,footnote,"* v.13 : This is another phase of the hypocrite and the cynic. ""Faith"" he says, ""is good enough to fools."" But his cynicism may be the greatest folly in the eyes of God."
2,14,yusuf_ali,footnote,"* v.14 : A deeper phase of insincerity is actual duplicity. But it never pays in the end. If we compare such a man to a trader, he loses in the bargain."
2,17,yusuf_ali,footnote,"* v.17 : The man wanted light; he only kindled a fire. It produced a blaze, and won the applause of all around. But it did not last long. When the flame when out as was inevitable, the darkness was worse than before. And they all lost their way. So hypocrisy, deception, arrogant compromise with evil, cynicism, or duplicity may win temporary applause. But the true light of faith and sincerity is wanting, and therefore it must mislead and ruin all concerned. In the consternation they cannot speak or hear each other, and of course they cannot see; so they end like the deliberate rejecters of Faith (ii. 7), wildly groping about, dumb, deaf and blind."
2,19,yusuf_ali,footnote,"* v.19 : A wonderfully graphic and powerful simile applying to those who reject Faith. In their self-sufficiency they are undisturbed normally. But what happens when a great storm breaks over them? They cover their ears against thunder-clasps and the lightning nearly blinds them. They are in mortal fear, but God encompasses them around - even them, for He at all times encompasses all. He give them rope. In the intervals of deafening noise and blinding flashes, there are moments of steady light and these creatures take advantage of them, but again they are plunged into darkness. Perhaps they curse; perhaps they think that the few moments of effective light are due to their own intelligence! How much wiser would they be if they humbled themselves and sought the light of God!"
2,21,yusuf_ali,footnote,"* v.21 : For Taqwa see ii. 2 n. 26. I connect this dependent clause with ""adore, etc."" above, though it could be connected with ""created"". According to my construction the argument will be as follows. Adoration is the act of the highest and humblest reverence and worship. When you get into that relationship with God, Who is your Creator and Guardian, your faith produces works of righteousness. It is a chance given you: will you exercise your free will and take it? If you do, your whole nature will be transformed."
2,22,yusuf_ali,footnote,"* v.22 : Further proofs of God’s goodness to you are given in this verse. Your whole life, physical and spiritual, depends upon Him. The spiritual is figured by the Canopy of Heaven. The truth has been brought plainly before you. Will you still resist it and go after false gods, the creation of your own fancy? The false gods may be idols, superstitions, Self, or even great or glorious things like Poetry, Art, or Science, when set up as rivals to God. They may be pride of race, pride of birth, pride of wealth or position, pride of power, pride of learning, or even spiritual pride."
2,23,yusuf_ali,footnote,"* v.23 : How do we know that there is revelation, and that is from God? Here is a concrete test. The Teacher of God’s Truth has placed before you many Suras. Can you produce one like it? If there is any one besides God, who can inspire spiritual truth in such noble language, produce your evidence. Or is it that your doubts are merely argumentative, refractory, against your own inner light, or conscience? All true revelation is itself a miracle, and stands on its own merits."
2,24,yusuf_ali,footnote,"* v.24 : If by your own efforts you cannot match the spiritual light, and yet contumaciously reject spiritual Faith, then there will be a fire in your souls, the Punishment that burns up all your cherished idols. Perhaps you will at least fear this penalty, which your self-loving souls can understand. This fir consumes both the worshippers of the False and the Idols which they falsely worship. Can this bring them to their senses? Its power is not only over the feeling, palpitating heart of man (heart in a spiritual sense, as it persists long after the physical heart), but he cannot escape from it even if he imagines himself reduced to inertness like stocks or stones; for it is all-devouring."
2,25,yusuf_ali,footnote,"* v.25 : This is the antithesis to the last verse. If fire is the symbol of Punishment, the Garden is the symbol of felicity. And what can be more delightful than a Garden where you observe from a picturesque height a beautiful landscape round you, - rivers flowing with crystal water, and fruit tree of which the choicest fruit is before you. The fruit of goodness is goodness, similar, but choicer in every degree of ascent. You think it is the same, but it is because of your past experiences and associations of memory. Then there is companionship. If sex is suggested, its physical associations are at once negatived by the addition of the word Mutahharatun ""pure and holy."" The Arabic epithet is in the intensive form, and must be translated by two adjectives denoting purity in the highest degree. The Companionship is that of souls and applies to both sexes in the physical world of men and women. And this felicity is not a mere passing phase but will abide beyond the realms of Time."
2,26,yusuf_ali,footnote,"* v.26 : The word for ""the lowest"" in the original Arabic means a gnat, a byword in the Arabic language for the weakest of creatures. In xxix 41, which was revealed before this Sura, the similitude of the Spider was used, and similarly in xxii 73, there is the similitude of the Fly. For similitudes taken from magnificent forces of nature, expressed in exalted language, see ii 19 above. To God all His creation has some special meaning appropriate to itself, and some of what we consider the lowest creatures have wonderful aptitudes, e.g., the spider of the fly."
2,28,yusuf_ali,footnote,"* v.28 : In the preceding verses God has used various arguments. He has recalled His goodness (ii. 21-22); resolved doubts (ii. 23); plainly set forth the penalty of wrong-doing (ii. 24); given glad tidings (ii. 25) shown how misunderstandings arise from a deliberate rejection of the light and breach of the Covenant (ii. 26-27). Now (ii. 28-29) He pleads with His creatures and appeals to their own subjective feelings. He brought you into being. The mysteries of life and death are in His hands. When you die on this earth, that is not the end. You were of Him, and you must return to Him. Look around you and realize your own dignity; it is from Him. The immeasurable depths of space above and around you may stagger you. They are part of His plan. What you have imagined as the seven firmaments (and any other scheme you may construct) bears witness to His design of order and perfection, for His knowledge (unlike yours) is all- comprehending. And yet will you deliberately reject or obscure or deaden the faculty of Faith which has been put into you?"
2,30,yusuf_ali,footnote,"* v.30 : It would seem that the angels, though holy and pure, and endued with power from God, yet represented only one side of Creation. We may imagine them without passion or emotion, of which the highest flower is love. If man was to be endued with emotions, those emotions would lead him to the highest and drag him to the lowest. The power of will or choosing would have to go with them, in order that man might steer his own bark. This power of will (when used aright) gave him to some extent a mastery over his own fortunes and over nature, thus bringing him nearer to the God-like nature which has supreme mastery and will. We may suppose the angels had no independent wills of their own; their perfection in other ways reflected God’s perfection but could not raise them to the dignity of vicegerency. The perfect vicegerent is he who has the power of initiative himself, but whose independent action always reflects perfectly the will of his Principal. The distinction is expressed by Shakespeare (Sonnet 94) in those fine lines: ""They are the lords and owners of their faces. Others but stewards of their excellence."" The angels in their one-sidedness saw only the mischief consequent on the misuse of the emotional nature by man; perhaps they also, being without emotions, did not understand the whole of God’s nature, which gives and asks for love. In humility and true devotion to God, they remonstrate; we must not imagine the least tinge of jealousy, as they are without emotion. This mystery of love being above them, they are told that they do not know and they acknowledge (in ii. 32 below) not their fault (for there is no question of fault) but their imperfection of knowledge. At the same time, the matter is brought home to them when the actual capacities of man are shown to them (ii. 31, 33)."
2,31,yusuf_ali,footnote,"* v.31 : The literal words in Arabic throughout this passage are: ""The names of things"" which commentators take to mean the inner nature and qualities of things, and things here would include feelings. The whole passage is charged with mystic meaning. The particular qualities or feelings which were outside the nature of angels were put by God into the nature of man. Man was thus able to love and understand love, and thus plan and initiate, as becomes the office of vicegerent. The angels acknowledged this. These things they could only know from the outside, but they had faith, or belief in the Unseen. And they knew that God saw all - what others see, what others do not see, what others may even wish to conceal. Man has many qualities which are latent or which he may wish to suppress or conceal, to his own detriment."
2,34,yusuf_ali,footnote,"* v.34 : The Arabic may also be translated: ""They bowed down, except Iblis."" In that case Iblis (Satan) would be one of the angels. But the theory of fallen angels is not usually accepted in Muslim theology. In xviii, 50 Iblis is spoken of as a Jinn. We shall discuss later the meaning of this word."
2,35,yusuf_ali,footnote,"* v.35 : Was the Garden of Eden a place on this earth? Obviously not. For, in verse 36 below, it was after the Fall that the sentence was pronounced: ""On earth will be your dwelling."" Before the Fall, we must suppose Man to be on another plane altogether - of felicity, innocence, trust, a spiritual existence, with the negation of enmity, want of faith, and all evil. Perhaps Time and Space also did not exist, and the Garden is allegorical as well as the tree. The forbidden tree was not the tree of knowledge for man was given in that perfect state fuller knowledge than he has now (ii. 31); it was the tree of Evil, which he was forbidden not only to eat of, but even to approach."
2,314,yusuf_ali,footnote,"* ""Zulm"" in Arabic implies harm, wrong, injustice, or transgression, and may have reference to oneself; when the wrong is done to others it implies tyranny and oppression; the idea of wrong naturally connects itself with darkness, which is another shade of meaning carried with the root word."
2,36,yusuf_ali,footnote,"* v.36 : ""Iblis"" in ii. 34 is apparently the Power of Evil, with the root idea of desperateness of rebellion ""Satan"" in this verse is the Power of Evil, with the root idea of perversity or enmity. Note the appropriateness of the term on each occasion. Also, ""slipping"" from the Garden denotes the idea of Evil gradually tempting man from a higher to a lower state."
2,316,yusuf_ali,footnote,"* God’s decree is the result of man’s action. Note the transition in Arabic from the singular number in ii. 33, to the dual in ii. 35, and the plural here, which I have indicated in English by ""All ye people."" Evidently Adam is the type of all mankind, and the sexes go together in all spiritual matters. Moreover, the expulsion applied to Adam, Eve, and Satan, and the Arabic plural is appropriate for any number greater for any number greater than two."
2,317,yusuf_ali,footnote,"* Man’s sojourn in this lower state, where he is partly an animal of this earth, is for a time. But he must fulfil his lower duties also, for they too are a part of his spiritual training."
2,37,yusuf_ali,footnote,"* v.37 : As ""names"" in verse 31 above is used for the ""nature of things"", so ""words"" here mean ""inspiration"" ""spiritual knowledge"". The Arabic word used for ""learn"" here implies some effort on his part to which God’s Grace responded."
2,38,yusuf_ali,footnote,"* v.38 : Note the transition from the plural ""We"" at the beginning of the verse to the singular ""Me"" later in the same verse God speaks of Himself usually in the first person plural ""We"" it is the plural of respect and honour and is used in human language in Royal proclamations and decrees. But where a special personal relationship is expressed the singular, ""I"" or ""Me"" is used Cf. xxvi. 52, etc."
2,39,yusuf_ali,footnote,"* v.39 : But if the soul, in spite of the Oft-Returning Mercy of God, rejects the higher light and goes on sinning against that light, the inevitable consequence must be the spiritual Fire. It is not merely a fortuitous incident. As his rejection was deliberate and definite, so the consequences must be of an abiding character."
2,40,yusuf_ali,footnote,"* v.40 : The appeal is made to Israel subjectively in terms of their own tradition. You claim to be a favoured nation; have you forgotten My favours? You claim a special Covenant with Me: I have fulfilled My part of the Covenant by bringing you out of the land of bondage and giving you Canaan, the land ""flowing with milk and honey"" how have you fulfilled your part of the Covenent? Do you fear for your national existence? If you fear Me, nothing else will matter."
2,41,yusuf_ali,footnote,"* v.41 : You receive revelations before: now comes one confirming it: its first appeal should be to you: are you to be the first to reject it? And reject it for what? God’s Signs are worth more than all your paltry considerations. And the standard of duty and righteousness is to be taken from God, and not from priests and customs."
2,43,yusuf_ali,footnote,"* v.43 : The argument is still primarily addressed to the Jews, but is of universal application, as in all the teachings of the Quran. The chief feature of Jewish worship was and is the bowing of the head."
2,45,yusuf_ali,footnote,"* v.45 : The Arabic word Sabr implies many shades of meaning, which it is impossible to comprehend in one English word. It implies (1) patience in the sense of being thorough, not hasty; (2) patient perseverance, constancy, steadfastness, firmness of purpose; (3) systematic as opposed to spasmodic or chance action; (4) a cheerful attitude of resignation and understanding in sorrow, defeat, or suffering, as opposed to murmuring or rebellion, but saved from mere passivity or listlessness, by the element of constancy or steadfastness."
2,47,yusuf_ali,footnote,"* v.47 : These words are recapitulated from ii. 40, which introduced a general account of God’s favours to Israel; now we are introduced to a particular account of incidents in Israel’s history. Each incident is introduced by the Arabic word ""1’s"", which is indicated in the translation by ""Remember""."
2,48,yusuf_ali,footnote,"* v.48 : Before passing to particular incidents, the conclusions is stated. Be on your guard; do not think that special favours exempt you from the personal responsibility of each soul."
2,49,yusuf_ali,footnote,"* v.49 : The bondage of Egypt was indeed a tremendous trial. Even the Egyptians’ wish to spare the lives of Israel’s females when the males were slaughtered, added to the bitterness of Israel. Their hatred was cruel, but their ""love"" was still more cruel. About the hard tasks, see Exod, i. 14: ""They made their lives bitter with hard bondage, in mortar and in brick, and in all manner of service in the field; all their service, wherein they made them serve, was with rigour."" Pharaoh’s taskmasters gave no straw, yet ordered the Israelites to make bricks without straw: Exod. v 5-19. Pharoah’s decree was: ""Every son that is born ye shall cast into the river, and every daughter ye shall save alive"": Exod. i. 22. It was in consequence of this decree that Moses was hidden three months after he was born, and when he could be hidden no longer, he was put into an ark of bulrushes and cast into the Nile, where he was found by Pharoah’s daughter and wife ""xxviii. 9), and adopted into the family: Exod. ii. 2-10. Cf. xx. 37-40. Thus Moses was brought up by the enemies of his people. He was chosen by God to deliver his people, and God’s wisdom made the learning and experience and even cruelties of the Egyptian enemies themselves to contribute to the salvation of his people."
2,50,yusuf_ali,footnote,"* v.50 : When the Israelites at last escaped from Egypt, they were pursued by Pharaoh and his host. By a miracle the Israelites crossed the Red Sea, but the host of Pharaoh was drowned: Exod. xiv. 5-31."
2,51,yusuf_ali,footnote,"* v.51 : This was after the Ten Commandments and the Laws and Ordinances had been given on Mount Sinai: Moses was asked up into the Mount, and he was there forty days and forty nights: Exod. xxiv. 18. But the people got impatient of the delay, made a calf of melted gold, and offered worship and sacrifice to it: Exod. xxxii 1-8."
2,52,yusuf_ali,footnote,"* v.52 : Moses prayed for his people, and God forgave them. This is the language of the Quran. The Old Testament version is rougher: ""The Lord reprented of the evil which He thought to do unto His people"": Exod. xxxii. 14. The Muslim position has always been that the Jewish (and Christian) scriptures as they stand cannot be traced direct to Moses or Jesus, but are later compilations. Modern scholarship and Higher Criticism has left no doubt on the subject. But the stories in these traditional books may be used in an appeal to those who use them: only they should be spiritualized, as they are here, and especially in ii. 5 below."
2,53,yusuf_ali,footnote,"* v.53 : God’s revelation, the expression of God’s Will, is the true standard of right and wrong. It may be in a Book or in God’s dealings in history. All these may be called His Signs or Miracles. In this passage some commentators take the Scripture and the Criterion (Furqan) to be identical. Others take them to be two distinct things: Scripture being the written Book and the Criterion being other Signs. I agree with the latter view. The word Furqan also occurs in xxi 48 in connection with Moses and Aaron and in the first verse of Sura xxv, as well as in its title, in connection with Muhammad. As Aaron received no Book, Furqan must mean the other Signs. Mustafa had both the Book and the other Signs: perhaps here too we take the other Signs as supplementing the Book. Cf. Words worth’s ""Arbiter undisturbed of right and wrong."" (Prelude, Book 4)"
2,54,yusuf_ali,footnote,"* v.54 : Moses’s speech may be construed literally, as translated, in which case it reproduces Euod. xxxii 27-28 but in a much softened form, for the Old Testament says: ""Go in and out from gate to gate throughout the camp, and slay every man his brother and every man his companion, and every man his neighbor... and there fell of the people that day 3,000 men."" A more spiritualized version would be that the order for slaying was given by way of trial, but was withdrawn, for God turned to them in forgiveness. A still more spiritualized way of construing it would be to take ""anfusakum"" as meaning ""souls"" not ""selves"". Then the sense of Moses’s speech (abbreviated) would be: ""By the worship of the calf you have wronged your own souls; repent: mortify (=slay) your souls now: it will be better in the sight of God."""
2,55,yusuf_ali,footnote,"* v.55 : We have hitherto had instances from the Jewish traditional Taurat (or Pentateuch). Now we have some instances from Jewish traditions in the Talmud, or body of exposition in the Jewish theological schools. They are based on the Jewish scriptures, but add many marvellous details and homilies. As to seeing God, we have in Exod. xxxiii 20: ""And He said ""Thou canst not see My face: for there shall no man see Me and live."" The punishment for insisting on seeing God was therefore death; but those who rejected faith were forgiven, and yet they were ungrateful."
2,57,yusuf_ali,footnote,"* v.57 : Manna=Hebrew, Manhu: Arabic Mahuwa? - What is it? In Exod. xvi. 14 it is described as ""a small round thing as small as the hoar frost on the ground."" It usually rotted if left over till next day; it melted in the hot sun; the amount necessary for each man was about an Omer, a Hebrew measure of capacity equal to about 2 quarts. This is the Hebrew account, probably distorted by traditional exaggeration. The actual Manna found to this day in the Sinai region is a gummy saccharine secretion found on a species of Tamarisk. It is produced by the puncture of a species of insect like the cochineal, just as lac is produced by the puncture of the lac insect on certain trees in India. As to quails, large flights of them are driven by winds in the Eastern Mediterranean in certain seasons of the year, as was witnessed during the Great War of 1914-1918 by many Indian officers who campaigned between Egypt and Palestine."
2,58,yusuf_ali,footnote,"* v.58 : This probably refers to Shittim. It was the ""town of acacias,"" just east of the Jordan, where the Israelites were guilty of debauchery and the worship of and sacrifice to false gods (Num. xxv. 1-2, also 8-9); a terrible punishment ensued, including the plague of which 24,000 died. The word which the transgressors changed may have been a pass-word. In the Arabic text it is ""Hittatun"" which implies humility and a prayer of forgiveness, a fitting emblem to distinguish them from their enemies. From this particular incident a more general lesson may be drawn; in the hour of triumph we are to behave humbly as in God’s sight, and our conduct should be exemplary according to God’s word; otherwise our arrogance will draw its own punishment."
2,60,yusuf_ali,footnote,"* v.60 : Here we have a reference to the tribal organization of the Jews, which played a great part in their forty years’ march through the Arabian deserts (Num. i. and ii.) and their subsequent settlement in the land of Canaan (Josh xxii. and xiv.). The twelve tribes were derived from the sons of Jacob, whose name was changed to Israel (soldier of God) after he had wrestled, says Jewish tradition, with God (Genesis xxxii. 28). Israel had twelve sons (Gen. xxxv. 22-26), including Levi and Joseph. The descendants of these twelve sons were the ""Children of Israel."" Levi’s family got the priesthood and the care of the Tabernacle; they were exempted from military duties for which the census was taken (Nu. i. 47-53), and therefore from the distribution of Land in Canaan (Josh. xiv. 3); they were distributed among all the Tribes, and were really a privileged caste and not numbered among the Tribes; Moses and Aaron belonged to the house of Levi. On the other hand Joseph, on account of the high position to which he rose in Egypt as the Pharoah’s minister, was the progenitor of two tribes, one in the name of each of his two sons Ephraim and Manasseh. Thus there were twelve Tribes in all, as Levi was cut out and Joseph represented two tribes. Their having fixed stations and watering places in camp and fixed territorial areas later in the Promised Land prevented confusion and mutual jealousies and is pointed to as an evidence of the Providence of God acting through His prophet Moses. Cf. also vii. 160."
2,61,yusuf_ali,footnote,"* v.61 : The declension of the word Misr in the Arabic text here shows that it is treated as a common noun meaning any town, but this is not conclusive, and the reference may be to the Egypt of Pharoah. The Tanwin expressing indefiniteness may mean ""any Egypt"", i.e., any country as fertile as Egypt. There is here a subtle reminiscence as well as a severe reproach. The rebellious children of Israel murmured at the sameness of the food they got in the desert. They were evidently hankering after the delicacies of the Egypt which they had left, although they should have known that the only thing certain for them in Egypt was their bondage and harsh treatment. Moses’s reproach to them was twofold: (1) Such variety of foods you can get in any town; would you, for their sake, sell your freedom? Is not freedom better than delicate food? (2) In front is the rich Promised Land, which you are reluctant to march to; behind is Egypt, the land of bondage. Which is better? Would you exchange the better for the worse?"
2,338,yusuf_ali,footnote,"* From here the argument becomes more general. They got the Promised Land. But they continued to rebel against God. And their humiliation and misery became a national disaster. They were carried in captivity to Assyria. They were restored under the Persians, but still remained under the Persian yoke, and they were under the yoke of the Greeks, the Romans, and Araba. They were scattered all over the earth, and have been a wandering people ever since, because they rejected faith, slew God’s messengers and went on transgressing."
2,62,yusuf_ali,footnote,"* v.62 : Latest researches have revealed a small remnant of a religious community numbering about 2,000 souls in Lower Iraq, near Basra. In Arabic they are called Subbi (plural Subba). They are also called Sabians and Nasoraeans; or Mandaeans, or Christians of St. John. They claim to be Gnostics, of Knowers of the Great Life. They dress in white, and believe in frequent immersions in water. Their Book Ginza is in a dialect of Aramaic. They have theories of Darkness and Light as in Zoroastrianism. They use the name Uardan (Jordan) for any river. They live in peace and harmony among their Muslim neighbors. They resemble the Sabi-un mentioned in the Quran but are not probably identical with them."
2,340,yusuf_ali,footnote,"* CF. ii. 38, where the same phrase occurs. And it recurs again and again afterwards. The point of the verse is that Islam does not teach an exclusive doctrine, and is not meant exclusively for one people. The Jews claimed this for themselves, and the Christians in their own origin were a sect of the Jews. Even the modern organized Christian churches, though they have been, consciously or unconsciously, influenced by the Time-spirit, including the historical fact of Islam, yet cling to the idea of Vicarious Atonement, which means that all who do not believe in it or who lived previously to the death of Christ are at a disadvantage spiritually before the Throne of God. The attitude of Islam is entirely different. Islam existed before the preaching of Muhammad on this earth: the Quran expressly calls Abraham a Muslim (iii. 67). Its teaching (submission to God’s will) has been and will be the teaching of Religion for all time and for all peoples."
2,63,yusuf_ali,footnote,"* v.63 : The Mountain of Sinai (Tur-u-Sinin) a prominent mountain in the Arabian desert, in the peninsula between the two arms of the Red Sea. Here the Ten Commandments and the Law were given to Moses. Hence it is now called the Mountain of Moses (Jabal Musa). The Israelites encamped at the foot of it for nearly a year. The Covenant was taken from them under many portents (Exod. xix. 5,8,16,18), which are described in Jewish tradition in great detail. Under thunder and lightening the mountain must indeed have appeared an awe-inspiring sight above to the Camp at its foot. And the people solemnly entered into the Covenant: all the people answered together and said, ""All that the Lord hath spoken we will do."""
2,65,yusuf_ali,footnote,"* v.65 : The punishment for breach of the Sabbath under the Mosaic law was death. ""Every one that defieth it (the Sabbath) shall surely be put to death; for whosoever doeth any work therein, that soul shall be cut off from among his people."" (Exod. xxxi. 14). There must have been a Jewish tradition about a whole fishing community in a seaside town, which persisted in breaking the Sabbath and were turned into apes; cf. vii. 163-166. Or should we translate in both these passages. ""Be as apes"", instead of ""Be apes""? This is the suggestion of Maulvi Muhammad Ali on this passage, on the authority of Mujahid and Ibn Jarir Tabari. The punishment would be, not for the breach of the Sabbath in itself, but for their contumacious defiance of the Law."
2,67,yusuf_ali,footnote,"* v.67 : This story or parable of the heifer in ii. 67-71 should be read with the parable of the dead man brought to life in ii. 72-73. The stories were accepted in Jewish traditions, which are themselves based on certain sacrificial directions in the Old Testament. The heifer story of Jewish tradition is based on Num. xix. 1-10, in which Moses and Aaron ordered the Israelites to sacrifice a red heifer without spot or blemish; her body was to be burnt and the ashes were to be kept for the purification of the congregation from sin. The parable of the dead man we shall refer to later."
2,72,yusuf_ali,footnote,"* v.72 : In Deut. xxi. 1-9 it is ordained that if the body of a slain man be found in field and the slayer is not known, a heifer shall be beheaded, and the elders of the city next to the slain man’s domicile shall wash their hands over the heifer and say that they neither did the deed nor saw it done, thus clearing themselves from the blood-guilt."
2,74,yusuf_ali,footnote,"* v.74 : The sinner’s heart gets harder and harder. It is even harder than rocks, of which a beautiful poetical allegory is placed before us. In nature we think there is nothing harder than rocks. But there are rocks that weep voluntarily, like repentant hearts that come to God of their own accord; such are the rocks from which rivers and springs flow spontaneously, sometimes in small trickles, sometimes in big volumes. Then there are rocks which have to be split or dug into or blown up with dynamite, and underneath we find abundant waters, as in wells beneath rocky soil. Such are the hearts of a less degree of fineness, which yet melt into tears when some great blow or calamity calls the mind to higher things. And lastly, there are the rocks which slip or sink by geological pressure or in an earthquake, and send forth large spouts of water, as happened, for example, in the Bihar earthquake of 1934; such sinking or quaking may be poetically ascribed to fear. So there are hearts which will come to God by no higher motive than fear, but yet fear will melt them into tears of repentance. But the hardened sinner is worse than all these. His case is worse than that of rocks, for nothing will melt him."
2,76,yusuf_ali,footnote,"* v.76 : The immediate argument applies to the Jews of Medina, but the more general argument applies to the people of Faith and the people without Faith, as we shall see below. If the Muslims of Medina ever entertained the hope that the Jews in their city would as a body welcome Muhammad Mustafa as the Prophet prophesied in their own books, they were mistaken. In Deut. xviii. 18, they read: ""I will raise them up a Prophet from among their brethren, like unto thee."" (i.e., like unto Moses) which was interpreted by some of their doctores as referring to Muhammad, and they came into Islam. The Arabs are a kindred branch of the Semitic family, and are correctly described in relation to the Jews as ""their brethren""; and there is no question that there was not another Prophet"" like unto Moses"" until Muhammad came; in fact the PostScript of Deuteronomy, which was written many centuries after Moses, says: ""There arose not a prophet since in Israel like unto Moses, whom the Lord knew face to face."" But the Jews as a body were jealous of Muhammad, and played a double part. When the Muslim community began to grow stronger they pretended to be of them, but really tried to keep back any knowledge of their own Scriptures from them, lest they should be beaten by their own arguments."
2,78,yusuf_ali,footnote,"* v.78 : The argument of i. 76 is continued. The Jews wanted to keep back knowledge, but what knowledge had they? Many of them, even if they could read, were no better than illiterates, for they knew not their own true Scriptures, but read into them what they wanted, or at best their own conjectures. They planned off their own writings for the Message of God. Perhaps it brought them profit for the time being; but it was a miserable profit if they ""gained the whole world and lost their own souls"" (Matt. xvi. 26). ""Writing with their own hands"" means inventing books themselves, which had no divine authority."
2,80,yusuf_ali,footnote,"* v.80 : The Jews in their arrogance might say: Whatever the terror of Hell may be for other people, our sins will be forgiven, because we are the children of Abraham; at worst, we shall suffer a short definite punishment and then be restored to the ""bosom of Abraham"". This bubble is pricked here. Read this verse with ii. 81-82."
