surah_no,ayat,translator,text
2,43,asad,"Believe in that which I have [now] bestowed from on high, confirming the truth already in your possession, and be not foremost among those who deny its truth; and do not barter away My messages for a trifling gain; and of Me, of Me be conscious!"
2,44,asad,"And do not overlay the truth with falsehood, and do not knowingly suppress the truth;"
2,45,asad,"and be constant in prayer, and spend in charity, and bow down in prayer with all who thus bow down."
2,46,asad,"Do you bid other people to be pious, the while you forget your own selves – and yet you recite the divine writ? Will you not, then, use your reason?"
2,47,asad,"And seek aid in steadfast patience and prayer: and this, indeed, is a hard thing for all but the humble in spirit,"
2,48,asad,who know with certainty that they shall meet their Sustainer and that unto Him they shall return.
2,49,asad,"O children of Israel! Remember those blessings of Mine with which I graced you, and how I favoured you above all other people;"
2,50,asad,"and remain conscious of [the coming of] a Day when no human being shall in the least avail another, nor shall intercession be accepted from any of them, nor ransom taken from them, and none shall be succoured."
2,51,asad,"And [remember the time] when We saved you from Pharaoh’s people, who afflicted you with cruel suffering, slaughtering your sons and sparing [only] your women – which was an awesome trial from your Sustainer;"
2,52,asad,"and when We cleft the sea before you, and thus saved you and caused Pharaoh’s people to drown before your very eyes;"
2,53,asad,"and when We appointed for Moses forty nights [on Mount Sinai], and in his absence you took to worshipping the [golden] calf, and thus became evildoers:"
2,54,asad,"yet, even after that, We blotted out this your sin, so that you might have cause to be grateful."
2,55,asad,And [remember the time] when We vouchsafed unto Moses the divine writ – and [thus] a standard by which to discern the true from the false – so that you might be guided aright;
2,56,asad,"and when Moses said unto his people: ""O my people! Verily, you have sinned against yourselves by worshipping the calf; turn, then, in repentance to your Maker and mortify yourselves; this will be the best for you in your Maker’s sight."""
2,57,asad,"And thereupon He accepted your repentance: for, behold, He alone is the Acceptor of Repentance, the Dispenser of Grace."
2,58,asad,"And [remember] when you said, ""O Moses, indeed we shall not believe thee until we see God face to face!"" – whereupon the thunderbolt of punishment overtook you before your very eyes."
2,59,asad,"But We raised you again after you had been as dead, so that you might have cause to be grateful."
2,60,asad,"And We caused the clouds to comfort you with their shade, and sent down unto you manna and quails, [saying,] ""Partake of the good things which We have provided for you as sustenance."""
2,61,asad,And [by all their sinning] they did no harm unto Us – but [only] against their own selves did they sin.
2,62,asad,"And [remember the time] when We said: ""Enter this land, and eat of its food as you may desire, abundantly; but enter the gate humbly and say, ‘Remove Thou from us the burden of our sins’, [whereupon] We shall forgive you your sins, and shall amply reward the doers of good."""
2,63,asad,But those who were bent on evildoing substituted another saying for that which had been given them: and so We sent down upon those evildoers a plague from heaven in requital for all their iniquity.
2,64,asad,"And [remember] when Moses prayed for water for his people and We replied, ""Strike the rock with thy staff!"" – whereupon twelve springs gushed forth from it, so that all the people knew whence to drink. [And Moses said:] ""Eat and drink the sustenance provided by God, and do not act wickedly on earth by spreading corruption."""
2,65,asad,"And [remember] when you said: ""O Moses, indeed we cannot endure but one kind of food; pray, then, to thy Sustainer that He bring forth for us aught of what grows from the earth – of its herbs, its cucumbers, its garlic, its lentils, its onions."""
2,66,asad,"Said [Moses]: ""Would you take a lesser thing in exchange for what is [so much] better? Go back in shame to Egypt, and then you can have what you are asking for!"""
2,67,asad,"And so, ignominy and humiliation overshadowed them, and they earned the burden of God’s condemnation: all this, because they persisted in denying the truth of God’s messages and in slaying the prophets against all right: all this, because they rebelled [against God], and persisted in transgressing the bounds of what is right."
2,68,asad,"VERILY, those who have attained to faith [in this divine writ], as well as those who follow the Jewish faith, and the Christians, and the Sabians – all who believe in God and the Last Day and do righteous deeds – shall have their reward with their Sustainer; and no fear need they have, and neither shall they grieve."
2,69,asad,"AND LO! We accepted your solemn pledge, raising Mount Sinai high above you, [and saying,] ""Hold fast with [all your] strength unto what We have vouchsafed you, and bear in mind all that is therein, so that you might remain conscious of God!"""
2,70,asad,"And you turned away after that! And had it not been for God’s favour upon you and His grace, you would surely have found yourselves among the lost;"
2,71,asad,"for you are well aware of those from among you who profaned the Sabbath, whereupon We said unto them, ""Be as apes despicable!"" –"
2,72,asad,"and set them up as a warning example for their time and for all times to come, as well as an admonition to all who are conscious of God."
2,73,asad,"AND LO! Moses said unto his people: ""Behold, God bids you to sacrifice a cow."""
2,74,asad,"They said: ""Dost thou mock at us?"""
2,75,asad,"He answered: ""I seek refuge with God against being so ignorant!"""
2,76,asad,"Said they: ""Pray on our behalf unto thy Sustainer that He make clear to us what she is to be like."""
2,77,asad,"Said they: ""Pray on our behalf unto thy Sustainer that He make clear to us what her colour should be."""
2,78,asad,"Said they: ""Pray on our behalf unto thy Sustainer that He make clear to us what she is to be like, for to us all cows resemble one another; and then, if God so wills, we shall truly be guided aright!"""
2,79,asad,"Said they: ""At last thou hast brought out the truth!"" – and thereupon they sacrificed her, although they had almost left it undone."
2,80,asad,"For, [O children of Israel,] because you had slain a human being and then cast the blame for this [crime] upon one another – although God will bring to light what you would conceal –"
2,81,asad,"We said: ""Apply this [principle] to some of those [cases of unresolved murder]: in this way God saves lives from death and shows you His will, so that you might [learn to] use your reason."""
2,82,asad,"And yet, after all this, your hearts hardened and became like rocks, or even harder: for, behold, there are rocks from which streams gush forth; and, behold, there are some from which, when they are cleft, water issues; and, behold, there are some that fall down for awe of God. And God is not unmindful of what you do!"
2,83,asad,"CAN YOU, then, hope that they will believe in what you are preaching – seeing that a good many of them were wont to listen to the word of God and then, after having understood it, to pervert it knowingly?"
2,84,asad,"For, when they meet those who have attained to faith, they say, ""We believe [as you believe]"" – but when they find themselves alone with one another, they say, ""Do you inform them of what God has disclosed to you, so that they might use it in argument against you, quoting the words of your Sustainer? Will you not, then, use your reason?"""
2,85,asad,"Do they not know, then, that God is aware of all that they would conceal as well as of all that they bring into the open?"
2,86,asad,"And there are among them unlettered people who have no real knowledge of the divine writ, [following] only wishful beliefs and depending on nothing but conjecture."
2,87,asad,"Woe, then, unto those who write down, with their own hands, [something which they claim to be] divine writ, and then say, ""This is from God,"" in order to acquire a trifling gain thereby; woe, then, unto them for what their hands have written, and woe unto them for all that they may have gained!"
2,88,asad,"And they say, ""The fire will most certainly not touch us for more than a limited number of days."" Say [unto them]: ""Have you received a promise from God – for God never breaks His promise – or do you attribute to God something which you cannot know?"""
2,89,asad,"Yea! Those who earn evil and by their sinfulness are engulfed – they are destined for the fire, therein to abide;"
2,90,asad,"whereas those who attain to faith and do righteous deeds – they are destined for paradise, therein to abide."
2,91,asad,"AND LO! We accepted this solemn pledge from [you,] the children of Israel: ""You shall worship none but God; and you shall do good unto your parents and kinsfolk, and the orphans, and the poor; and you shall speak unto all people in a kindly way; and you shall be constant in prayer; and you shall spend in charity."""
2,92,asad,"And yet, save for a few of you, you turned away: for you are obstinate folk!"
2,93,asad,"And lo! We accepted your solemn pledge that you would not shed one another’s blood, and would not drive one another from your homelands – whereupon you acknowledged it; and thereto you bear witness [even now]."
2,94,asad,"And yet, it is you who slay one another and drive some of your own people from their homelands, aiding one another against them in sin and hatred; but if they come to you as captives, you ransom them – although the very [act of] driving them away has been made unlawful to you!"
2,95,asad,"Do you, then, believe in some parts of the divine writ and deny the truth of other parts? What, then, could be the reward of those among you who do such things but ignominy in the life of this world and, on the Day of Resurrection, commitment to most grievous suffering? For God is not unmindful of what you do."
2,96,asad,"All who buy the life of this world at the price of the life to come – their suffering shall not be lightened, nor shall they be succoured!"
2,97,asad,"For, indeed, We vouchsafed unto Moses the divine writ and caused apostle after apostle to follow him; and We vouchsafed unto Jesus, the son of Mary, all evidence of the truth, and strengthened him with holy inspiration. [Yet] is it not so that every time an apostle came unto you with something that was not to your liking, you gloried in your arrogance, and to some of them you gave the lie, while others you would slay?"
2,98,asad,"But they say, ""Our hearts are already full of knowledge."" Nay, but God has rejected them because of their refusal to acknowledge the truth: for, few are the things in which they believe."
2,99,asad,"And whenever there came unto them a [new] revelation from God, confirming the truth already in their possession – and [bear in mind that] aforetime they used to pray for victory over those who were bent on denying the truth – whenever there came unto them something which they recognized [as the truth], they would deny it. And God’s rejection is the due of all who deny the truth."
2,100,asad,"Vile is that [false pride] for which they have sold their own selves by denying the truth of what God has bestowed from on high, out of envy that God should bestow aught of His favour upon whomsoever He wills of His servants: and thus have they earned the burden of God’s condemnation, over and over. And for those who deny the truth there is shameful suffering in store."
2,101,asad,"For when they are told, ""Believe in what God has bestowed from on high,"" they reply, ""We believe [only] in what has been bestowed on us"" – and they deny the truth of everything else, although it be a truth confirming the one already in their possession."
2,102,asad,"Say: ""Why, then, did you slay God’s prophets aforetime, if you were [truly] believers?"""
2,103,asad,"And indeed, there came unto you Moses with all evidence of the truth – and thereupon, in his absence, you took to worshipping the [golden] calf, and acted wickedly."
2,104,asad,"And, lo, We accepted your solemn pledge, raising Mount Sinai high above you, [saying,] ""Hold fast with [all your] strength unto what We have vouchsafed you, and hearken unto it!"""
2,105,asad,"Say: ""Vile is what this [false] belief of yours enjoins upon you – if indeed you are believers!"""
2,106,asad,"Say: ""If an afterlife with God is to be for you alone, to the exclusion of all other people, then you should long for death – if what you say is true!"""
2,107,asad,"But never will they long for it, because [they are aware] of what their hands have sent ahead in this world: and God has full knowledge of evildoers."
2,108,asad,"And thou wilt most certainly find that they cling to life more eagerly than any other people, even more than those who are bent on ascribing divinity to other beings beside God: every one of them would love to live a thousand years, although the grant of long life could not save him from suffering [in the hereafter]: for God sees all that they do."
2,109,asad,"SAY [O Prophet]: ""Whosoever is an enemy of Gabriel"" – who, verily, by God’s leave, has brought down upon thy heart this [divine writ] which confirms the truth of whatever there still remains [of earlier revelations], and is a guidance and a glad tiding for the believers –"
2,110,asad,"""whosoever is an enemy of God and His angels and His message-bearers, including Gabriel and Michael, [should know that,] verily, God is the enemy of all who deny the truth."""
2,111,asad,For clear messages indeed have We bestowed upon thee from on high; and none denies their truth save the iniquitous.
2,112,asad,"Is it not so that every time they made a promise [unto God], some of them cast it aside? Nay, indeed: most of them do not believe."
2,113,asad,"And [even now,] when there has come unto them an apostle from God, confirming the truth already in their possession, some of those who were granted revelation aforetime cast the divine writ behind their backs as though unaware [of what it says],"
2,114,asad,"and follow [instead] that which the evil ones used to practice during Solomon’s reign – for it was not Solomon who denied the truth, but those evil ones denied it by teaching people sorcery – and [they follow] that which has come down through the two angels in Babylon, Hārūt and Mārūt – although these two never taught it to anyone without first declaring, ""We are but a temptation to evil: do not, then, deny [God’s] truth!"" And they learn from these two how to create discord between a man and his wife; but whereas they can harm none thereby save by God’s leave, they acquire a knowledge that only harms themselves and does not benefit them – although they know, indeed, that he who acquires this [knowledge] shall have no share in the good of the life to come. For vile indeed is that [art] for which they have sold their own selves – had they but known it!"
2,115,asad,"And had they but believed and been conscious of Him, reward from God would indeed have brought them good – had they but known it!"
2,116,asad,"O YOU who have attained to faith! Do not say [to the Prophet], ""Listen to us,"" but rather say, ""Have patience with us,"" and hearken [unto him], since grievous suffering awaits those who deny the truth."
2,117,asad,"Neither those from among the followers of earlier revelation who are bent on denying the truth, nor those who ascribe divinity to other beings beside God, would like to see any good ever bestowed upon you from on high by your Sustainer; but God singles out for His grace whom He wills – for God is limitless in His great bounty."
2,118,asad,Any message which We annul or consign to oblivion We replace with a better or a similar one. Dost thou not know that God has the power to will anything?
2,119,asad,"Dost thou not know that God’s is the dominion over the heavens and the earth, and that besides God you have none to protect you or bring you succour?"
2,120,asad,"Would you, perchance, ask of the Apostle who has been sent unto you what was asked aforetime of Moses? But whoever chooses to deny the [evidence of the] truth, instead of believing in it, has already strayed from the right path."
2,121,asad,"Out of their selfish envy, many among the followers of earlier revelation would like to bring you back to denying the truth after you have attained to faith – [even] after the truth has become clear unto them. None the less, forgive and forbear, until God shall make manifest His will: behold, God has the power to will anything."
2,122,asad,"And be constant in prayer, and render the purifying dues; for whatever good deed you send ahead for your own selves, you shall find it with God: behold, God sees all that you do."
2,123,asad,"AND THEY claim, ""None shall ever enter paradise unless he be a Jew"" – or, ""a Christian."" Such are their wishful beliefs! Say: ""Produce an evidence for what you are claiming, if what you say is true!"""
2,124,asad,"Yea, indeed: everyone who surrenders his whole being unto God, and is a doer of good withal, shall have his reward with his Sustainer; and all such need have no fear, and neither shall they grieve."
2,125,asad,"Furthermore, the Jews assert, ""The Christians have no valid ground for their beliefs,"" while the Christians assert, ""The Jews have no valid ground for their beliefs"" – and both quote the divine writ! Even thus, like unto what they say, have [always] spoken those who were devoid of knowledge; but it is God who will judge between them on Resurrection Day with regard to all on which they were wont to differ."
2,126,asad,"Hence, who could be more wicked than those who bar the mention of God’s name from [any of] His houses of worship and strive for their ruin, [although] they have no right to enter them save in fear [of God]? For them, in this world, there is ignominy in store; and for them, in the life to come, awesome suffering."
2,127,asad,"And God’s is the east and the west: and wherever you turn, there is God’s countenance. Behold, God is infinite, all-knowing."
2,128,asad,"And yet some people assert, ""God has taken unto Himself a son!"" Limitless is He in His glory! Nay, but His is all that is in the heavens and on earth; all things devoutly obey His will."
2,129,asad,"The Originator is He of the heavens and the earth: and when He wills a thing to be, He but says unto it, ""Be"" – and it is."
2,130,asad,"AND [only] those who are devoid of knowledge say, ""Why does God not speak unto us, nor is a [miraculous] sign shown to us?"" Even thus, like unto what they say, spoke those who lived before their time: their hearts are all alike. Indeed, We have made all the signs manifest unto people who are endowed with inner certainty."
2,131,asad,"Verily, We have sent thee [O Prophet] with the truth, as a bearer of glad tidings and a warner: and thou shalt not be held accountable for those who are destined for the blazing fire."
2,132,asad,"For never will the Jews be pleased with thee, nor yet the Christians, unless thou follow their own creeds. Say: ""Behold, God’s guidance is the only true guidance."""
2,133,asad,"And, indeed, if thou shouldst follow their errant views after all the knowledge that has come unto thee, thou wouldst have none to protect thee from God, and none to bring thee succour."
2,134,asad,"Those unto whom We have vouchsafed the divine writ [and who] follow it as it ought to be followed – it is they who [truly] believe in it; whereas all who choose to deny its truth – it is they, they who are the losers!"
2,135,asad,"O CHILDREN of Israel! Remember those blessings of Mine with which I graced you, and how I favoured you above all other people;"
2,136,asad,"and remain conscious of [the coming of] a Day when no human being shall in the least avail another, nor shall ransom be accepted from any of them, nor shall intercession be of any use to them, and none shall be succoured."
2,137,asad,"And [remember this:] when his Sustainer tried Abraham by [His] commandments and the latter fulfilled them, He said: ""Behold, I shall make thee a leader of men."""
2,138,asad,"Abraham asked: ""And [wilt Thou make leaders] of my offspring as well?"""
2,139,asad,"AND LO! We made the Temple a goal to which people might repair again and again, and a sanctuary: take, then, the place whereon Abraham once stood as your place of prayer."
2,140,asad,"And thus did We command Abraham and Ishmael: ""Purify My Temple for those who will walk around it, and those who will abide near it in meditation, and those who will bow down and prostrate themselves [in prayer]."""
2,141,asad,"And, lo, Abraham prayed: ""O my Sustainer! Make this a land secure, and grant its people fruitful sustenance – such of them as believe in God and the Last Day."""
2,142,asad,"And when Abraham and Ishmael were raising the foundations of the Temple, [they prayed:] ""O our Sustainer! Accept Thou this from us: for, verily, Thou alone art all-hearing, all-knowing!"
2,143,asad,"""O our Sustainer! Make us surrender ourselves unto Thee, and make out of our offspring a community that shall surrender itself unto Thee, and show us our ways of worship, and accept our repentance: for, verily, Thou alone art the Acceptor of Repentance, the Dispenser of Grace!"
2,144,asad,"""O our Sustainer! Raise up from the midst of our offspring an apostle from among themselves, who shall convey unto them Thy messages, and impart unto them revelation as well as wisdom, and cause them to grow in purity: for, verily, Thou alone art almighty, truly wise!"""
2,145,asad,"And who, unless he be weak of mind, would want to abandon Abraham’s creed, seeing that We have indeed raised him high in this world, and that, verily, in the life to come he shall be among the righteous?"
2,146,asad,"When his Sustainer said to him, ""Surrender thyself unto Me!"" – he answered, ""I have surrendered myself unto [Thee,] the Sustainer of all the worlds."""
2,147,asad,"And this very thing did Abraham bequeath unto his children, and [so did] Jacob: ""O my children! Behold, God has granted you the purest faith; so do not allow death to overtake you ere you have surrendered yourselves unto Him."""
2,148,asad,"Nay, but you [yourselves, O children of Israel,] bear witness that when death was approaching Jacob, he said unto his sons: ""Whom will you worship after I am gone?"""
2,149,asad,"They answered: ""We will worship thy God, the God of thy forefathers Abraham and Ishmael and Isaac, the One God; and unto Him will we surrender ourselves."""
2,150,asad,"Now those people have passed away; unto them shall be accounted what they have earned, and unto you, what you have earned; and you will not be judged on the strength of what they did."
2,151,asad,"AND THEY say, ""Be Jews"" – or, ""Christians"" – ""and you shall be on the right path."" Say: ""Nay, but [ours is] the creed of Abraham, who turned away from all that is false, and was not of those who ascribe divinity to aught beside God."""
2,152,asad,"Say: ""We believe in God, and in that which has been bestowed from on high upon us, and that which has been bestowed upon Abraham and Ishmael and Isaac and Jacob and their descendants, and that which has been vouchsafed to Moses and Jesus, and that which has been vouchsafed to all the [other] prophets by their Sustainer: we make no distinction between any of them. And it is unto Him that we surrender ourselves."""
2,153,asad,"And if [others] come to believe in the way you believe, they will indeed find themselves on the right path; and if they turn away, it is but they who will be deeply in the wrong, and God will protect thee from them: for He alone is all-hearing, all-knowing."
2,154,asad,"Say [to the Jews and the Christians]: ""Do you argue with us about God? But He is our Sustainer as well as your Sustainer – and unto us shall be accounted our deeds, and unto you, your deeds; and it is unto Him alone that we devote ourselves."
2,155,asad,"""Do you claim that Abraham and Ishmael and Isaac and Jacob and their descendants were ‘Jews’ or ‘Christians’?"" Say: ""Do you know more than God does? And who could be more wicked than he who suppresses a testimony given to him by God? Yet God is not unmindful of what you do."
2,156,asad,"""Now those people have passed away; unto them shall be accounted what they have earned, and unto you, what you have earned; and you will not be judged on the strength of what they did."""
2,157,asad,"THE WEAK-MINDED among people will say, ""What has turned them away from the direction of prayer which they have hitherto observed?"""
2,158,asad,"Say: ""God’s is the east and the west; He guides whom He wills onto a straight way."""
2,159,asad,"And thus have We willed you to be a community of the middle way, so that [with your lives] you might bear witness to the truth before all mankind, and that the Apostle might bear witness to it before you."
2,160,asad,"And it is only to the end that We might make a clear distinction between those who follow the Apostle and those who turn about on their heels that We have appointed [for this community] the direction of prayer which thou [O Prophet] hast formerly observed: for this was indeed a hard test for all but those whom God has guided aright. But God will surely not lose sight of your faith – for, behold, God is most compassionate towards man, a dispenser of grace."
2,161,asad,"We have seen thee [O Prophet] often turn thy face towards heaven [for guidance]: and now We shall indeed make thee turn in prayer in a direction which will fulfil thy desire. Turn, then, thy face towards the Inviolable House of Worship; and wherever you all may be, turn your faces towards it [in prayer]."
2,162,asad,"And, verily, those who have been vouchsafed revelation aforetime know well that this [commandment] comes in truth from their Sustainer; and God is not unaware of what they do."
2,163,asad,"And yet, even if thou wert to place all evidence before those who have been vouchsafed earlier revelation, they would not follow thy direction of prayer; and neither mayest thou follow their direction of prayer, nor even do they follow one another’s direction. And if thou shouldst follow their errant views after all the knowledge that has come unto thee, thou wouldst surely be among the evildoers."
2,164,asad,"They unto whom We have vouchsafed revelation aforetime know it as they know their own children: but, behold, some of them knowingly suppress the truth –"
2,165,asad,the truth from thy Sustainer!
2,166,asad,"Be not, then, among the doubters:"
2,167,asad,"for every community faces a direction of its own, of which He is the focal point. Vie, therefore, with one another in doing good works. Wherever you may be, God will gather you all unto Himself: for, verily, God has the power to will anything."
2,168,asad,"Thus, from wherever thou mayest come forth, turn thy face [in prayer] towards the Inviolable House of Worship – for, behold, this [commandment] comes in truth from thy Sustainer; and God is not unaware of what you do."
2,169,asad,"Hence, from wherever thou mayest come forth, turn thy face [in prayer] towards the Inviolable House of Worship; and wherever you all may be, turn your faces towards it, so that people should have no argument against you unless they are bent upon wrongdoing. And hold not them in awe, but stand in awe of Me, and [obey Me,] so that I might bestow upon you the full measure of My blessings, and that you might follow the right path."
2,170,asad,"Even as We have sent unto you an apostle from among yourselves to convey unto you Our messages, and to cause you to grow in purity, and to impart unto you revelation and wisdom, and to teach you that which you knew not:"
2,171,asad,"so remember Me, and I shall remember you; and be grateful unto Me, and deny Me not."
2,172,asad,"O YOU who have attained to faith! Seek aid in steadfast patience and prayer: for, behold, God is with those who are patient in adversity."
2,173,asad,"And say not of those who are slain in God’s cause, ""They are dead"": nay, they are alive, but you perceive it not."
2,174,asad,"And most certainly shall We try you by means of danger, and hunger, and loss of worldly goods, of lives and of [labour’s] fruits. But give glad tidings unto those who are patient in adversity –"
2,175,asad,"who, when calamity befalls them, say, ""Verily, unto God do we belong and, verily, unto Him we shall return."""
2,176,asad,"It is they upon whom their Sustainer’s blessings and grace are bestowed, and it is they, they who are on the right path!"
2,177,asad,"BEHOLD, as for those who suppress aught of the evidence of the truth and of the guidance which We have bestowed from on high, after We have made it clear unto mankind through the divine writ – these it is whom God will reject, and whom all who can judge will reject."
2,178,asad,"Excepted, however, shall be they that repent, and put themselves to rights, and make known the truth: and it is they whose repentance I shall accept – for I alone am the Acceptor of Repentance, the Dispenser of Grace."
2,179,asad,"Behold, as for those who are bent on denying the truth and die as deniers of the truth – their due is rejection by God, and by the angels, and by all [righteous] men."
2,180,asad,"In this state shall they abide; [and] neither will their suffering be lightened, nor will they be granted respite."
2,181,asad,"AND YOUR GOD is the One God: there is no deity save Him, the Most Gracious, the Dispenser of Grace."
2,182,asad,"Verily, in the creation of the heavens and of the earth, and the succession of night and day: and in the ships that speed through the sea with what is useful to man: and in the waters which God sends down from the sky, giving life thereby to the earth after it had been lifeless, and causing all manner of living creatures to multiply thereon: and in the change of the winds, and the clouds that run their appointed courses between sky and earth: [in all this] there are messages indeed for people who use their reason."
2,183,asad,"And yet there are people who choose to believe in beings that allegedly rival God, loving them as [only] God should be loved: whereas those who have attained to faith love God more than all else."
2,184,asad,"If they who are bent on evildoing could but see – as see they will when they are made to suffer [on Resurrection Day] – that all might belongs to God alone, and that God is severe in [meting out] punishment!"
2,185,asad,"And then those followers shall say: ""Would that we had a second chance [in life], so that we could disown them as they have disowned us!"""
2,186,asad,Thus will God show them their works [in a manner that will cause them] bitter regrets; but they will not come out of the fire.
2,187,asad,"O MANKIND! Partake of what is lawful and good on earth, and follow not Satan’s footsteps: for, verily, he is your open foe,"
