Arabic,Tafseer
يُخَادِعُونَ ٱللَّهَ وَٱلَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلاَّ أَنْفُسَهُم وَمَا يَشْعُرُونَ,"(They try to deceive Allah) contravene against Him and denying Him in secret. It is also said that this means that they were so daring with Allah to the extent that they thought they had deceived Him; (and those who believe), Abu Bakr and all the Companions of Muhammad Allah bless him and give him peace; (and they deceive) lie to (none save themselves; but they perceive not), they do not know that Allah informs His Prophet about that which lies secret in their hearts."
فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضاً وَلَهُم عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,"(In their hearts is a disease), doubt, hypocrisy, conflict and darkness (so Allah increaseth their disease), increased their doubt, hypocrisy, conflict and darkness. (And a painful doom is theirs), they will have a painful torment in the Hereafter which shall extend to their hearts, (because they lie) in secret, the reference here being to the hypocrites: 'Abdullah ibn Ubayy, Jadd Ibn Qays and Mu'attib Ibn Qushayr."
وَإِذَا قِيلَ لَهُمْ لاَ تُفْسِدُواْ فِي ٱلأَرْضِ قَالُوۤاْ إِنَّمَا نَحْنُ مُصْلِحُونَ,"(And when it is said unto them), i.e. the Jews (Make not mischief in the land) by preventing people from the Religion of Muhammad (pbuh) (they say: we are reformers only), we are reforming it through obedience."
أَلاۤ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَـٰكِن لاَّ يَشْعُرُونَ,(They are indeed the mischief mongers) by being a hindrance. (But they perceive not): the followers do not know that their leaders mislead them.
وَإِذَا قِيلَ لَهُمْ آمِنُواْ كَمَآ آمَنَ ٱلنَّاسُ قَالُوۤاْ أَنُؤْمِنُ كَمَآ آمَنَ ٱلسُّفَهَآءُ أَلاۤ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لاَّ يَعْلَمُونَ,"(And when it is said unto them) i.e. to Jews, (believe) in Muhammad (pbuh) (as the people believe), i.e. 'Abdullah Ibn Salam and his companions, (they say: Shall we believe) in Muhammad (pbuh) and the Qur'an, (as the foolish believe?), i.e. as the stupid and ignorant do, (Surely they are the fools) the stupid and ignorant. (But they know not) that they are so."
وَإِذَا لَقُواْ ٱلَّذِينَ آمَنُواْ قَالُوۤا آمَنَّا وَإِذَا خَلَوْاْ إِلَىٰ شَيَاطِينِهِمْ قَالُوۤاْ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,"(And when they), i.e. the hypocrites, (fall in with those who believe), i.e. Abu Bakr and his companions, (they say: We believe) deep in our hearts and are genuine in our faith just as you believe deep in your hearts and are genuine in your faith; (but when they go apart to their devils), to their soothsayers and leaders who were five in number, namely, Ka'b Ibn al-Ashraf in Medina, Abu Burdah al-Aslami in Banu Aslam, Ibn al-Sawda' in Historic Syria (al-Sham), 'Abd al-Dar in Juhaynah and 'Awf Ibn 'Amir in Banu 'Amir, (they declare) to their leaders: (Lo! We are with you) we follow your religion in secret; (surely we did but mock) Muhammad (pbuh) and his Companions."
ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,"(Allah (Himself) doth mock them), in the Hereafter, i.e. He will open a gate of Paradise for them and then shut it before their eyes and so the believers will mock them. (Leaving them to wander blindly on in their contumacy) He will leave them in this world blind in their disbelief and error, unable to see either faith or guidance."
أُوْلَـٰئِكَ ٱلَّذِينَ ٱشْتَرَوُاْ ٱلضَّلَـٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُواْ مُهْتَدِينَ,"(These are they who purchase error at the price of guidance), they chose disbelief instead of faith and exchanged guidance with error, (so their commerce did not prosper), they did not prosper in their bargain but on the contrary (neither were they guided) to overcome their error."
مَثَلُهُمْ كَمَثَلِ ٱلَّذِي ٱسْتَوْقَدَ نَاراً فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَٰتٍ لاَّ يُبْصِرُونَ,"(Their likeness), the likeness of the hypocrites vis-à-vis Muhammad (pbuh) (is as the likeness of one who kindleth fire), lights a fire in the darkness in order to provide safety for his family, property and person, (and when it sheddeth its light around him), when it sheds its light and he sees what is around him and feels secure, at that very moment the Fire is put out. Likewise, the hypocrites believed openly in Muhammad (pbuh) as well as in the Qur'an and by doing so they felt their persons, families and properties were safe, avoiding in the process imprisonment or death. But when they die (Allah taketh away their light), the benefit of their [outward] faith, (and leaveth them in darkness) facing the hardships of the grave, (where they cannot see) any comfort. It is also said this simile refers to the Jews. In this respect, the likeness of the Jews vis-à-vis Muhammad (pbuh) is like a man who raises a flag in a lost battle and by doing so attracts other defeated fighters. But when they gather they put their flag down and, consequently, their benefit and safety immediately vanish. Similarly, the Jews used to say that Muhammad (pbuh) and the Qur'an, prior to its revelation, would support them. When it was revealed however they denied it and Allah took away their light, i.e. their desire to believe and the benefit of such belief. This is because although they wanted to believe in Muhammad (pbuh) they did not do so, and consequently they were left them in the error of Judaism, unable to see guidance."
صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لاَ يَرْجِعُونَ,"(Deaf) pretending to be deaf, (dumb) pretending to be dumb, (and blind) pretending to be blind; (so they return not) from their disbelief and error."
أَوْ كَصَيِّبٍ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَٰبِعَهُمْ فِيۤ آذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ وٱللَّهُ مُحِيطٌ بِٱلْكَٰفِرِينَ,"(Or like a rainstorm from the sky). This is another simile, whereby the likeness of the hypocrites and Jews vis-à-vis the Qur'an is like rain that has poured down from heaven at night onto the wilderness, (wherein is darkness, thunder and the flash of lightening). Such is the Qur'an. For it has come down from Allah; it contains darkness as embodied in the exposition of seditions, thunderings of rebuke whereby fear is instilled, lightening of exposition, instruction and promise. (They thrust their fingers in their ears by reason of the thunder-claps) due to the sound of the thunder (for fear of death), for fear of misfortune and death. Similarly, the Jews and hypocrites used to put their fingers in their ears when they heard the Qur'an recited, delivering promises and threats like thunder-claps, and this they did for fear of death, i.e. for fear of being drawn to it. (And Allah encompasseth the disbelievers) and hypocrites, i.e. He knows them and will gather them in hell."
يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ كُلَّمَا أَضَآءَ لَهُمْ مَّشَوْاْ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُواْ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,"(The lightning), i.e. fire, (almost snatcheth away their sight from them), i.e. from the unbelievers. Similarly, the exposition of the Qur'an almost snatched away their error. (As often as it flasheth forth), the lightening, (for them they walk therein) in the brightness of lightening, (and when it darkeneth against them they stand still) they remain in darkness. Likewise, when the hypocrites declared themselves to be believers, they went along with that which the believers went along with because their outward faith was accepted. But when they died, they remained in the darkness of the grave. (And if Allah willed, He could destroy their hearing), take away the thunder, (and their sight) the lightening. Likewise, if Allah willed, He could take away the hearing of the hypocrites and Jews through the rebukes and threats contained in the Qur'an, and He could also take away their sight through the exposition contained therein. (Indeed Allah is able to do all things) in terms of destroying their hearing and sight."
يَٰـأَيُّهَا ٱلنَّاسُ ٱعْبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,"(O mankind!) O people of Mecca; and it is also said that this refers to the Jews, (Worship your Lord), declare Him as the only One God, (Who hath created you) as different lineages beginning from a drop of sperm, (and those before you) just as He created those who came before you, (so that ye may ward off) so that you may ward off His wrath and torment and obey Him."
ٱلَّذِي جَعَلَ لَكُمُ ٱلأَرْضَ فِرَٰشاً وَٱلسَّمَاءَ بِنَآءً وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَأَخْرَجَ بِهِ مِنَ ٱلثَّمَرَٰتِ رِزْقاً لَّكُمْ فَلاَ تَجْعَلُواْ للَّهِ أَندَاداً وَأَنْتُمْ تَعْلَمُونَ,"(Who hath appointed the earth a resting-place for you), a place for dwelling and sleeping, (and the sky a canopy), raised high above; (and causeth water to pour down from the sky), i.e. rain, (thereby producing) through this rain (fruits) different kinds of fruit (as food for you) as sustenance for you and all created beings. (So do not set up rivals to Allah) do not say that Allah has peers, different forms or coequals (when you know) that He is the fashioner of all these things. It is also said that (when you know) means: when you know from your own scripture that Allah does not have a son, coequal or peer."
وَإِن كُنْتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُواْ بِسُورَةٍ مِّن مِّثْلِهِ وَٱدْعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِنْ كُنْتُمْ صَٰدِقِينَ,"(And if ye are in doubt concerning that which We revealed) through the Archangel Gabriel (unto Our slave) Muhammad whom you accuse of fabrication, (then produce a surah like it) produce a surah like the surah of the Cow (al-Baqarah), (and call your witnesses), seek help from the gods that you worship, (apart from Allah), it is said that this refers to their leaders, (if ye are truthful) in your claim."
فَإِن لَّمْ تَفْعَلُواْ وَلَن تَفْعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ أُعِدَّتْ لِلْكَٰفِرِينَ,"(And if ye do it not-and you can never do it-) this you can never do and if you try you will never succeed (then guard yourselves against the Fire) if you are bent on not believing, for you should fear hell (whose fuel is men) the unbelievers, (and stones) of sulphur, (prepared) created, prepared and preordained (for disbelievers)."
وَبَشِّرِ ٱلَّذِين آمَنُواْ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍ تَجْرِي مِن تَحْتِهَا ٱلأَنْهَٰرُ كُلَّمَا رُزِقُواْ مِنْهَا مِن ثَمَرَةٍ رِّزْقاً قَالُواْ هَـٰذَا ٱلَّذِي رُزِقْنَا مِن قَبْلُ وَأُتُواْ بِهِ مُتَشَٰبِهاً وَلَهُمْ فِيهَآ أَزْوَٰجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَٰلِدُونَ,"Then He mentioned the favours enjoyed by the believers in Paradise, saying: (And give glad tidings unto those who believe) in Muhammad (pbuh) and in the Qur'an (and do good works) of obedience that bind to their Lord; and it is also that this refers to doing any righteous deeds; (that theirs are Gardens beneath which), trees and habitations, (rivers flow) rivers of wine, milk, honey and water; (as often as they are provided with food), whenever they are fed in Paradise (of the fruit thereof) with different kinds of fruit, (they say: This is what was given us before), this is what we ate before, (and it is given to them) i.e. the food (in resemblance) as far as the colour is concerned but not the taste which is different. (There for them) in Paradise (are pure spouses), pure from menses or any kind of filth, (therein), in Paradise, (forever they abide) dwelling forever: never to die or be banished from it."
إِنَّ ٱللَّهَ لاَ يَسْتَحْى أَن يَضْرِبَ مَثَلاً مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا ٱلَّذِينَ آمَنُواْ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَـٰذَا مَثَلاً يُضِلُّ بِهِ كَثِيراً وَيَهْدِي بِهِ كَثِيراً وَمَا يُضِلُّ بِهِ إِلاَّ ٱلْفَٰسِقِينَ,"Then Allah mentioned the Jews' objection to the Qur'an's similes, saying: (Lo! Allah disdaineth not), He cannot abstain from coining similes, and how can He disdain mentioning something that if all created being were to join forces to create, they would not be able to do so. Allah does not disdain (to coin the similitude) Allah does not disdain explaining to people a similitude (even of a gnat), even regarding a gnat, (or what is above it) let alone a simile of something greater than a gnat such as a fly, or a spider. (Those who believe) in Muhammad and the Qur'an (know that it), the simile, (is the Truth from their Lord; but those who disbelieve), in Muhammad and the Qur'an, (say: What doth Allah wish (to teach) by such similitude?) say: O Muhammad! What Allah wishes by such simile is that (He misleadeth many thereby) of the Jews from the true Religion, (and He guideth many thereby) of the believers, (and He misleadeth thereby), by such similes, (only miscreants), the Jews."
ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِن بَعْدِ مِيثَٰقِهِ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي ٱلأرْضِ أُولَـۤئِكَ هُمُ ٱلْخَٰسِرُونَ,"(Those who break the covenant of Allah) regarding this Prophet (pbuh) (after ratifying it), after sanctioning, confirming and vouchsafing it (and sever that which Allah hath ordered) of oaths and kinsfolk relations (to be joined) to Muhammad, (and (who) make mischief in the earth) by preventing people from the Religion of Muhammad (pbuh) and the Qur'an: (Those are they who are the losers), the duped in that they lose both this world and the Hereafter."
كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنْتُمْ أَمْوَٰتاً فَأَحْيَٰكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,"(How disbelieve you in Allah) how astonishing that you disbelieve in Allah (when you were dead) sperm drops in the loins of your fathers (and He gave life to you!) in the wombs of your mothers. (Then He will give you death) when your lifespan ends, (then life again) for the Resurrection, (and then unto Him ye will be returned) in the Hereafter whereupon He shall requite you for your works."
هُوَ ٱلَّذِي خَلَقَ لَكُمْ مَّا فِي ٱلأَرْضِ جَمِيعاً ثُمَّ ٱسْتَوَىٰ إِلَى ٱلسَّمَآءِ فَسَوَّٰهُنَّ سَبْعَ سَمَٰوَٰتٍ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"Allah then proceeded to mention His blessings on them, saying (He it is Who created for you), made subservient for you (all that is in the earth) of beasts, plants and other things, as a blessing from Him. (Then turned He to the heaven) i.e. He turned to the creation of the heaven, (and fashioned it as seven heavens) positioning them vertically above the earth. (And He is Knower of all things) regarding the creation of the heavens and earth."
وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰئِكَةِ إِنِّي جَاعِلٌ فِي ٱلأَرْضِ خَلِيفَةً قَالُواْ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّيۤ أَعْلَمُ مَا لاَ تَعْلَمُونَ,"Then Allah, Exalted is He, mentioned the story of the angels who were commanded to prostrate to Adam, saying: (And when your Lord said unto the angels) who were already on the earth: (Lo! I am about to place a vicegerent in the earth), I am creating a vicegerent from the earth, (they said: Wilt Thou place therein), will you create therein (one who will do harm therein) by committing sin (and will shed blood) through transgression, (while we, we hymn Thy praise), pray following Your command (and sanctify Thee) and mention you in a state of purity? (He said: Surely I know that) which shall ensue from this vicegerent (which you know not)."
وَعَلَّمَ ءَادَمَ ٱلأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰئِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَآءِ هَـٰؤُلاۤءِ إِن كُنْتُمْ صَٰدِقِينَ,"(And He taught Adam all the names), the names of all his progeny, or the names of all the beasts and other things, including: a cooking pot, a plate and saucer, (then showed them) to prove that they were wrong (to the angels) who were commanded to prostrate, (saying: Inform Me of the names of these) created beings and descendents, (if ye are truthful) in your first claim."
قَالُواْ سُبْحَٰنَكَ لاَ عِلْمَ لَنَآ إِلاَّ مَا عَلَّمْتَنَآ إِنَّكَ أَنْتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,"(They said: Be glorified!), we repent to you of what we said (We have no knowledge saving that which Thou hast taught us), inspired us with. (Lo! Thou, only Thou, art the Knower) of us and of them (the Wise) regarding our matters and theirs."
قَالَ يَآءَادَمُ أَنبِئْهُمْ بِأَسْمَآئِهِمْ فَلَمَّآ أَنْبَأَهُمْ بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُلْ لَّكُمْ إِنِيۤ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ,"(He said: O Adam! Inform them of their names, and when he had informed them of their names, He said: Did I not tell you that I know the secret of the heavens and the earth?) the unseen that will take place in the heavens and on the earth. (And I know that which ye disclose), what you show to your Lord in terms of your obedience to Adam (and that which ye hide) of this obedience. It is also said that this refers to what Satan disclosed and kept hidden from them."
وَإِذْ قُلْنَا لِلْمَلَٰئِكَةِ ٱسْجُدُواْ لأَدَمَ فَسَجَدُواْ إِلاَّ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,"(And when We said unto the angels: Prostrate yourselves before Adam), a prostration of salutation, (they fell prostrate, all save Iblis. He demurred through pride) to follow his Lord's command. (And so became a disbeliever) after this because he refused to comply with Allah's command. It is also said that it was in Allah's foreknowledge that Satan was to become a disbeliever; as it is said that he was the first unbeliever ever."
وَقُلْنَا يَآءَادَمُ ٱسْكُنْ أَنْتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلاَ مِنْهَا رَغَداً حَيْثُ شِئْتُمَا وَلاَ تَقْرَبَا هَـٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلْظَّٰلِمِينَ,"Then Allah, Exalted is He, mentioned the story of Adam and Eve, saying: (And We said: O Adam! Dwell thou and thy wife in the Garden) enter you and Eve into Paradise (and eat ye freely (of the fruits)) without restriction (thereof where ye will) and whenever you will; (but come not near this tree) but do not eat from this tree, the tree of knowledge, which includes all types and kinds (lest ye become of the wrong-doers), lest you harm yourselves."
فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا ٱهْبِطُواْ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِي ٱلأَرْضِ مُسْتَقَرٌّ وَمَتَٰعٌ إِلَىٰ حِينٍ,"(But the Devil caused them to deflect), caused them to slip (therefrom), from Paradise, (and expelled them from the state in which they were), from the comfort which they had enjoyed; (and We said) to Adam, Eve, the peacock and the serpent (Fall down) go down to the earth, (one of you a foe unto the other! There shall be for you on earth a habitation), a dwelling-place, (and a provision), a benefit and livelihood, (for a time) until the moment of death."
فَتَلَقَّىٰ ءَادَمُ مِن رَّبِّهِ كَلِمَٰتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"(Then Adam received from his Lord) Adam learnt from his Lord, and it is said that he was taught and inspired with (words) so that they became a way for him and his progeny to repentance, (and He relented towards him), He forgave him. (Indeed! He is the Relenting), the One Who overlooks misdeeds, (the Merciful) towards any that dies repentant."
قُلْنَا ٱهْبِطُواْ مِنْهَا جَمِيعاً فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ,"(We said) to Adam, Eve, the serpent, the peacock and Satan: (Go down) from heaven, (all of you). Then Allah, Exalted is He, mentioned Adam's progeny, (from hence; but verily there cometh unto you), when and whenever it comes to you, (from Me a guidance), a scripture and an emissary; (whoso followeth My guidance) the scripture and the emissary, (there shall no fear come upon them) regarding any torment in the future, (neither shall they grieve) about what they have left behind them. It is also said that this means that no fear will come upon them perpetually and nor will they grieve perpetually; no fear will come upon them when death is slain and they will not grieve when hell is closed."
وَٱلَّذِينَ كَفَرواْ وَكَذَّبُواْ بِآيَٰتِنَآ أُولَـٰئِكَ أَصْحَٰبُ ٱلنَّارِ هُمْ فِيهَا خَٰلِدُونَ,"(But those who disbelieve, and deny our revelations), the scripture and the Emissary, (such are rightful owners of the Fire), the dwellers of hell. (They will abide therein forever), they will remain perpetually in hell: never to die or be released from it."
